,Location,Wait,Last Updated,Scrape Timestamp
0,196 Albany,No Wait Time,Last Reported Time: 12:21 PM,2020-12-11 18:54:29.372148
1,4101 White Plains Road,0-30 Minutes,Last Reported Time: 12:09 PM,2020-12-11 18:54:29.372148
2,57 Cleveland Place,No Wait Time,Last Reported Time: 12:18 PM,2020-12-11 18:54:29.372148
3,Bathgate Contract Post...,Not Reported Yet,Last Reported Time:,2020-12-11 18:54:29.372148
4,Bay Ridge 5th Avenue,0-30 Minutes,Last Reported Time: 12:03 PM,2020-12-11 18:54:29.372148
5,Beach 39th,1-1.5 Hours,Last Reported Time: 12:27 PM,2020-12-11 18:54:29.372148
6,Bellevue Hospital Cent...,1-1.5 Hours,Last Reported Time: 12:17 PM,2020-12-11 18:54:29.372148
7,Belvis Diagnostic & Tr...,0-30 Minutes*,Last Reported Time: 11:58 AM,2020-12-11 18:54:29.372148
8,Bensonhurst 14th Avenue,30-60 Minutes,Last Reported Time: 12:08 PM,2020-12-11 18:54:29.372148
9,Brooklyn Army Terminal,Not Reported Yet,Last Reported Time:,2020-12-11 18:54:29.372148
10,Canarsie Municipal Lot,No Wait Time,Last Reported Time: 12:05 PM,2020-12-11 18:54:29.372148
11,CI Ida G Israel Chc,Not Reported Yet,Last Reported Time:,2020-12-11 18:54:29.372148
12,Co-op City Retail Space,0-30 Minutes*,Last Reported Time: 11:43 AM,2020-12-11 18:54:29.372148
13,Coney Island Hospital ...,0-30 Minutes,Last Reported Time: 12:42 PM,2020-12-11 18:54:29.372148
14,CU Jonathan Williams C...,30-60 Minutes,Last Reported Time: 1:46 PM,2020-12-11 18:54:29.372148
15,CU Vanderbilt,30-60 Minutes*,Last Reported Time: 11:14 AM,2020-12-11 18:54:29.372148
16,CU Woodside Houses CHC,Not Reported Yet,Last Reported Time:,2020-12-11 18:54:29.372148
17,Cumberland Dtc,0-30 Minutes*,Last Reported Time: 9:20 AM,2020-12-11 18:54:29.372148
18,Edward Grant,30-60 Minutes*,Last Reported Time: 1:38 PM,2020-12-11 18:54:29.372148
19,Elmhurst Hospital Cent...,1-1.5 Hours,Last Reported Time: 12:17 PM,2020-12-11 18:54:29.372148
20,EY East New York DTC,0-30 Minutes*,Last Reported Time: 11:12 AM,2020-12-11 18:54:29.372148
21,Fort Hamilton,30-60 Minutes,Last Reported Time: 12:16 PM,2020-12-11 18:54:29.372148
22,Gouverneur Healthcare,Not Reported Yet,Last Reported Time:,2020-12-11 18:54:29.372148
23,Greenbelt Recreational...,1-1.5 Hours,Last Reported Time: 12:40 PM,2020-12-11 18:54:29.372148
24,Harlem Hospital Center,30-60 Minutes,Last Reported Time: 12:06 PM,2020-12-11 18:54:29.372148
25,Highbridge Pool,Not Reported Yet,Last Reported Time:,2020-12-11 18:54:29.372148
26,Jacobi Medical Center,0-30 Minutes,Last Reported Time: 12:03 PM,2020-12-11 18:54:29.372148
27,JFK Airport,0-30 Minutes,Last Reported Time: 12:33 PM,2020-12-11 18:54:29.372148
28,Kew Gardens,1-1.5 Hours,Last Reported Time: 1:08 PM,2020-12-11 18:54:29.372148
29,Kings County Hospital ...,0-30 Minutes,Last Reported Time: 12:32 PM,2020-12-11 18:54:29.372148
30,LaGuardia Airport,Not Reported Yet,Last Reported Time:,2020-12-11 18:54:29.372148
31,Lefferts,0-30 Minutes,Last Reported Time: 12:00 PM,2020-12-11 18:54:29.372148
32,Lincoln Medical Center,No Wait Time,Last Reported Time: 12:24 PM,2020-12-11 18:54:29.372148
33,Mariners Harbor Library,No Wait Time,Last Reported Time: 12:44 PM,2020-12-11 18:54:29.372148
34,Metropolitan Hospital ...,0-30 Minutes*,Last Reported Time: 11:33 AM,2020-12-11 18:54:29.372148
35,Midwood,1-1.5 Hours,Last Reported Time: 12:52 PM,2020-12-11 18:54:29.372148
36,Morrisania Diagnostic ...,30-60 Minutes*,Last Reported Time: 9:51 AM,2020-12-11 18:54:29.372148
37,Mt. Loretto,1.5-2 Hours*,Last Reported Time: 10:39 AM,2020-12-11 18:54:29.372148
38,North Central Bronx Ho...,30-60 Minutes,Last Reported Time: 12:18 PM,2020-12-11 18:54:29.372148
39,Northern Boulevard,0-30 Minutes*,Last Reported Time: 10:22 AM,2020-12-11 18:54:29.372148
40,Old Broadway,0-30 Minutes*,Last Reported Time: 11:04 AM,2020-12-11 18:54:29.372148
41,Queens Hospital Center,30-60 Minutes,Last Reported Time: 1:22 PM,2020-12-11 18:54:29.372148
42,Rain Boston Road Senio...,No Wait Time,Last Reported Time: 1:48 PM,2020-12-11 18:54:29.372148
43,Red Hook Recreational ...,No Wait Time,Last Reported Time: 12:18 PM,2020-12-11 18:54:29.372148
44,Sorrentino Recreationa...,Not Reported Yet,Last Reported Time:,2020-12-11 18:54:29.372148
45,St. Albans,0-30 Minutes,Last Reported Time: 1:23 PM,2020-12-11 18:54:29.372148
46,St. George Ferry Termi...,0-30 Minutes,Last Reported Time: 12:18 PM,2020-12-11 18:54:29.372148
47,St. James Recreational...,1.5-2 Hours,Last Reported Time: 12:09 PM,2020-12-11 18:54:29.372148
48,Starret City,0-30 Minutes,Last Reported Time: 12:00 PM,2020-12-11 18:54:29.372148
49,SY Dyckman Lcdla,Not Reported Yet,Last Reported Time:,2020-12-11 18:54:29.372148
50,SY St. Nicholas Chc,Not Reported Yet,Last Reported Time:,2020-12-11 18:54:29.372148
51,Sydenham,0-30 Minutes,Last Reported Time: 12:26 PM,2020-12-11 18:54:29.372148
52,Sydenham Health Center,Not Reported Yet,Last Reported Time:,2020-12-11 18:54:29.372148
53,Tremont Community Heal...,Not Reported Yet,Last Reported Time:,2020-12-11 18:54:29.372148
54,Windsor Park Library,1-1.5 Hours,Last Reported Time: 1:18 PM,2020-12-11 18:54:29.372148
55,Woodhull Medical Center,1-1.5 Hours,Last Reported Time: 1:41 PM,2020-12-11 18:54:29.372148
