,Location,Wait,Last Updated,Scrape Timestamp
0,196 Albany,No Wait Time,Last Reported Time: 2:14 PM,2021-02-05 19:23:57.466093
1,4101 White Plains Road,Not Reported Yet,Last Reported Time:,2021-02-05 19:23:57.466093
2,57 Cleveland Place,No Wait Time*,Last Reported Time: 1:54 PM,2021-02-05 19:23:57.466093
3,Bay Ridge 5th Avenue,0-30 Minutes,Last Reported Time: 2:04 PM,2021-02-05 19:23:57.466093
4,Beach 39th,No Wait Time*,Last Reported Time: 12:10 PM,2021-02-05 19:23:57.466093
5,Bellevue Hospital Cent...,0-30 Minutes,Last Reported Time: 2:12 PM,2021-02-05 19:23:57.466093
6,Belvis Diagnostic & Tr...,No Wait Time*,Last Reported Time: 11:56 AM,2021-02-05 19:23:57.466093
7,Bensonhurst 14th Avenue,0-30 Minutes*,Last Reported Time: 11:35 AM,2021-02-05 19:23:57.466093
8,Canarsie Municipal Lot,Not Reported Yet,Last Reported Time:,2021-02-05 19:23:57.466093
9,CI Ida G Israel Chc,Not Reported Yet,Last Reported Time:,2021-02-05 19:23:57.466093
10,Co-op City Retail Space,30-60 Minutes*,Last Reported Time: 11:30 AM,2021-02-05 19:23:57.466093
11,Coney Island Hospital ...,Not Reported Yet,Last Reported Time:,2021-02-05 19:23:57.466093
12,CU Jonathan Williams C...,0-30 Minutes*,Last Reported Time: 12:53 PM,2021-02-05 19:23:57.466093
13,CU Vanderbilt,No Wait Time*,Last Reported Time: 12:46 PM,2021-02-05 19:23:57.466093
14,CU Woodside Houses CHC,Not Reported Yet,Last Reported Time:,2021-02-05 19:23:57.466093
15,Cumberland Dtc,Not Reported Yet,Last Reported Time:,2021-02-05 19:23:57.466093
16,Edward Grant,Not Reported Yet,Last Reported Time:,2021-02-05 19:23:57.466093
17,Elmhurst Hospital Cent...,1-1.5 Hours*,Last Reported Time: 8:05 AM,2021-02-05 19:23:57.466093
18,EY East New York DTC,0-30 Minutes,Last Reported Time: 2:18 PM,2021-02-05 19:23:57.466093
19,Fort Hamilton,30-60 Minutes,Last Reported Time: 2:16 PM,2021-02-05 19:23:57.466093
20,Gouverneur Healthcare,0-30 Minutes*,Last Reported Time: 1:05 PM,2021-02-05 19:23:57.466093
21,Greenbelt Recreational...,30-60 Minutes*,Last Reported Time: 11:17 AM,2021-02-05 19:23:57.466093
22,Harlem Hospital Center,30-60 Minutes*,Last Reported Time: 1:53 PM,2021-02-05 19:23:57.466093
23,Highbridge Pool,0-30 Minutes,Last Reported Time: 2:01 PM,2021-02-05 19:23:57.466093
24,Jacobi Medical Center,Not Reported Yet,Last Reported Time:,2021-02-05 19:23:57.466093
25,JFK Airport,0-30 Minutes*,Last Reported Time: 10:20 AM,2021-02-05 19:23:57.466093
26,Kew Gardens,0-30 Minutes*,Last Reported Time: 10:11 AM,2021-02-05 19:23:57.466093
27,Kings County Hospital ...,0-30 Minutes*,Last Reported Time: 1:24 PM,2021-02-05 19:23:57.466093
28,LaGuardia Airport,Not Reported Yet,Last Reported Time:,2021-02-05 19:23:57.466093
29,Lefferts,30-60 Minutes,Last Reported Time: 2:12 PM,2021-02-05 19:23:57.466093
30,Lincoln Medical Center,30-60 Minutes*,Last Reported Time: 12:00 PM,2021-02-05 19:23:57.466093
31,Mariners Harbor Library,No Wait Time*,Last Reported Time: 1:44 PM,2021-02-05 19:23:57.466093
32,Metropolitan Hospital ...,Not Reported Yet,Last Reported Time:,2021-02-05 19:23:57.466093
33,Midwood,No Wait Time*,Last Reported Time: 12:20 PM,2021-02-05 19:23:57.466093
34,Morrisania Diagnostic ...,30-60 Minutes*,Last Reported Time: 9:52 AM,2021-02-05 19:23:57.466093
35,Mt. Loretto,0-30 Minutes*,Last Reported Time: 12:17 PM,2021-02-05 19:23:57.466093
36,North Central Bronx Ho...,1-1.5 Hours*,Last Reported Time: 11:42 AM,2021-02-05 19:23:57.466093
37,Northern Boulevard,Not Reported Yet,Last Reported Time:,2021-02-05 19:23:57.466093
38,Old Broadway,0-30 Minutes*,Last Reported Time: 12:08 PM,2021-02-05 19:23:57.466093
39,Queens Hospital Center,30-60 Minutes*,Last Reported Time: 12:19 PM,2021-02-05 19:23:57.466093
40,Rain Boston Road Senio...,No Wait Time*,Last Reported Time: 1:45 PM,2021-02-05 19:23:57.466093
41,Red Hook Recreational ...,No Wait Time*,Last Reported Time: 12:10 PM,2021-02-05 19:23:57.466093
42,Sorrentino Recreationa...,Not Reported Yet,Last Reported Time:,2021-02-05 19:23:57.466093
43,St. Albans,Not Reported Yet,Last Reported Time:,2021-02-05 19:23:57.466093
44,St. George Ferry Termi...,0-30 Minutes*,Last Reported Time: 12:42 PM,2021-02-05 19:23:57.466093
45,St. James Recreational...,1.5-2 Hours*,Last Reported Time: 10:46 AM,2021-02-05 19:23:57.466093
46,Starret City,Not Reported Yet,Last Reported Time:,2021-02-05 19:23:57.466093
47,SY Dyckman Lcdla,30-60 Minutes*,Last Reported Time: 10:35 AM,2021-02-05 19:23:57.466093
48,SY St. Nicholas Chc,Not Reported Yet,Last Reported Time:,2021-02-05 19:23:57.466093
49,Sydenham,30-60 Minutes*,Last Reported Time: 10:35 AM,2021-02-05 19:23:57.466093
50,Sydenham Health Center,Not Reported Yet,Last Reported Time:,2021-02-05 19:23:57.466093
51,Tremont Community Heal...,Not Reported Yet,Last Reported Time:,2021-02-05 19:23:57.466093
52,Windsor Park Library,0-30 Minutes*,Last Reported Time: 1:14 PM,2021-02-05 19:23:57.466093
53,Woodhull Medical Center,30-60 Minutes*,Last Reported Time: 9:38 AM,2021-02-05 19:23:57.466093
54,Last Reported Time:,,,2021-02-05 19:23:57.466093
55,Last Reported Time:,,,2021-02-05 19:23:57.466093
56,,,,2021-02-05 19:23:57.466093
57,,,,2021-02-05 19:23:57.466093
58,,,,2021-02-05 19:23:57.466093
59,if you require urgent virtual care.,,,2021-02-05 19:23:57.466093
60,Do you want to speak with a medical provider? Visit ExpressCare.nyc or call 631-397-2273,,,2021-02-05 19:23:57.466093
61,,,,2021-02-05 19:23:57.466093
62,,,,2021-02-05 19:23:57.466093
63,,,,2021-02-05 19:23:57.466093
