,Location,Wait,Last Updated,Scrape Timestamp
0,196 Albany,No Wait Time,Last Reported Time: 2:17 PM,2021-02-16 20:11:05.085305
1,4101 White Plains Road,No Wait Time*,Last Reported Time: 1:13 PM,2021-02-16 20:11:05.085305
2,57 Cleveland Place,No Wait Time*,Last Reported Time: 1:03 PM,2021-02-16 20:11:05.085305
3,Bay Ridge 5th Avenue,No Wait Time*,Last Reported Time: 12:06 PM,2021-02-16 20:11:05.085305
4,Beach 39th,0-30 Minutes*,Last Reported Time: 1:36 PM,2021-02-16 20:11:05.085305
5,Bellevue Hospital Cent...,1.5-2 Hours*,Last Reported Time: 12:03 PM,2021-02-16 20:11:05.085305
6,Belvis Diagnostic & Tr...,30-60 Minutes*,Last Reported Time: 1:39 PM,2021-02-16 20:11:05.085305
7,Bensonhurst 14th Avenue,0-30 Minutes*,Last Reported Time: 1:00 PM,2021-02-16 20:11:05.085305
8,Canarsie Municipal Lot,No Wait Time,Last Reported Time: 3:07 PM,2021-02-16 20:11:05.085305
9,CI Ida G Israel Chc,Not Reported Yet,Last Reported Time:,2021-02-16 20:11:05.085305
10,Co-op City Retail Space,No Wait Time,Last Reported Time: 2:05 PM,2021-02-16 20:11:05.085305
11,Coney Island Hospital ...,Not Reported Yet,Last Reported Time:,2021-02-16 20:11:05.085305
12,CU Jonathan Williams C...,0-30 Minutes,Last Reported Time: 3:00 PM,2021-02-16 20:11:05.085305
13,CU Vanderbilt,0-30 Minutes*,Last Reported Time: 8:16 AM,2021-02-16 20:11:05.085305
14,CU Woodside Houses CHC,Not Reported Yet,Last Reported Time:,2021-02-16 20:11:05.085305
15,Cumberland Dtc,Not Reported Yet,Last Reported Time:,2021-02-16 20:11:05.085305
16,Edward Grant,Not Reported Yet,Last Reported Time:,2021-02-16 20:11:05.085305
17,Elmhurst Hospital Cent...,Not Reported Yet,Last Reported Time:,2021-02-16 20:11:05.085305
18,EY East New York DTC,30-60 Minutes,Last Reported Time: 2:54 PM,2021-02-16 20:11:05.085305
19,Fort Hamilton,No Wait Time*,Last Reported Time: 12:10 PM,2021-02-16 20:11:05.085305
20,Gouverneur Healthcare,30-60 Minutes*,Last Reported Time: 11:40 AM,2021-02-16 20:11:05.085305
21,Greenbelt Recreational...,No Wait Time,Last Reported Time: 2:26 PM,2021-02-16 20:11:05.085305
22,Harlem Hospital Center,0-30 Minutes,Last Reported Time: 2:43 PM,2021-02-16 20:11:05.085305
23,Highbridge Pool,30-60 Minutes*,Last Reported Time: 1:45 PM,2021-02-16 20:11:05.085305
24,Jacobi Medical Center,Not Reported Yet,Last Reported Time:,2021-02-16 20:11:05.085305
25,JFK Airport,0-30 Minutes*,Last Reported Time: 10:03 AM,2021-02-16 20:11:05.085305
26,Kew Gardens,No Wait Time,Last Reported Time: 2:11 PM,2021-02-16 20:11:05.085305
27,Kings County Hospital ...,0-30 Minutes,Last Reported Time: 2:09 PM,2021-02-16 20:11:05.085305
28,LaGuardia Airport,Not Reported Yet,Last Reported Time:,2021-02-16 20:11:05.085305
29,Lefferts,0-30 Minutes,Last Reported Time: 2:11 PM,2021-02-16 20:11:05.085305
30,Lincoln Medical Center,30-60 Minutes*,Last Reported Time: 11:00 AM,2021-02-16 20:11:05.085305
31,Mariners Harbor Library,No Wait Time,Last Reported Time: 1:56 PM,2021-02-16 20:11:05.085305
32,Metropolitan Hospital ...,Not Reported Yet,Last Reported Time:,2021-02-16 20:11:05.085305
33,Midwood,0-30 Minutes,Last Reported Time: 2:44 PM,2021-02-16 20:11:05.085305
34,Morrisania Diagnostic ...,30-60 Minutes*,Last Reported Time: 1:50 PM,2021-02-16 20:11:05.085305
35,Mt. Loretto,30-60 Minutes,Last Reported Time: 3:00 PM,2021-02-16 20:11:05.085305
36,North Central Bronx Ho...,Not Reported Yet,Last Reported Time:,2021-02-16 20:11:05.085305
37,Northern Boulevard,Not Reported Yet,Last Reported Time:,2021-02-16 20:11:05.085305
38,Old Broadway,0-30 Minutes,Last Reported Time: 2:36 PM,2021-02-16 20:11:05.085305
39,Queens Hospital Center,30-60 Minutes*,Last Reported Time: 1:41 PM,2021-02-16 20:11:05.085305
40,Rain Boston Road Senio...,0-30 Minutes*,Last Reported Time: 9:55 AM,2021-02-16 20:11:05.085305
41,Red Hook Recreational ...,0-30 Minutes,Last Reported Time: 2:04 PM,2021-02-16 20:11:05.085305
42,Sorrentino Recreationa...,Not Reported Yet,Last Reported Time:,2021-02-16 20:11:05.085305
43,St. Albans,Not Reported Yet,Last Reported Time:,2021-02-16 20:11:05.085305
44,St. George Ferry Termi...,0-30 Minutes,Last Reported Time: 2:51 PM,2021-02-16 20:11:05.085305
45,St. James Recreational...,Not Reported Yet,Last Reported Time:,2021-02-16 20:11:05.085305
46,Starret City,No Wait Time,Last Reported Time: 2:34 PM,2021-02-16 20:11:05.085305
47,SY Dyckman Lcdla,30-60 Minutes,Last Reported Time: 2:09 PM,2021-02-16 20:11:05.085305
48,SY St. Nicholas Chc,Not Reported Yet,Last Reported Time:,2021-02-16 20:11:05.085305
49,Sydenham,0-30 Minutes,Last Reported Time: 2:09 PM,2021-02-16 20:11:05.085305
50,Sydenham Health Center,Not Reported Yet,Last Reported Time:,2021-02-16 20:11:05.085305
51,Tremont Community Heal...,Not Reported Yet,Last Reported Time:,2021-02-16 20:11:05.085305
52,Windsor Park Library,Not Reported Yet,Last Reported Time:,2021-02-16 20:11:05.085305
53,Woodhull Medical Center,30-60 Minutes*,Last Reported Time: 11:35 AM,2021-02-16 20:11:05.085305
54,Last Reported Time:,,,2021-02-16 20:11:05.085305
55,Last Reported Time:,,,2021-02-16 20:11:05.085305
56,,,,2021-02-16 20:11:05.085305
57,,,,2021-02-16 20:11:05.085305
58,,,,2021-02-16 20:11:05.085305
59,if you require urgent virtual care.,,,2021-02-16 20:11:05.085305
60,Do you want to speak with a medical provider? Visit ExpressCare.nyc or call 631-397-2273,,,2021-02-16 20:11:05.085305
61,,,,2021-02-16 20:11:05.085305
62,,,,2021-02-16 20:11:05.085305
63,,,,2021-02-16 20:11:05.085305
