,Location,Wait,Last Updated,Scrape Timestamp
0,196 Albany,No Wait Time,Last Reported Time: 10:10 AM,2020-12-07 15:31:54.118854
1,4101 White Plains Road,30-60 Minutes*,Last Reported Time: 9:59 AM,2020-12-07 15:31:54.118854
2,57 Cleveland Place,0-30 Minutes*,Last Reported Time: 9:00 AM,2020-12-07 15:31:54.118854
3,Bathgate Contract Post...,0-30 Minutes,Last Reported Time: 10:19 AM,2020-12-07 15:31:54.118854
4,Bay Ridge 5th Avenue,Not Reported Yet,Last Reported Time:,2020-12-07 15:31:54.118854
5,Beach 39th,Not Reported Yet,Last Reported Time:,2020-12-07 15:31:54.118854
6,Bellevue Hospital Cent...,1-1.5 Hours,Last Reported Time: 10:14 AM,2020-12-07 15:31:54.118854
7,Belvis Diagnostic & Tr...,Not Reported Yet,Last Reported Time:,2020-12-07 15:31:54.118854
8,Bensonhurst 14th Avenue,0-30 Minutes,Last Reported Time: 10:18 AM,2020-12-07 15:31:54.118854
9,Brooklyn Army Terminal,0-30 Minutes,Last Reported Time: 10:29 AM,2020-12-07 15:31:54.118854
10,Canarsie Municipal Lot,No Wait Time,Last Reported Time: 10:10 AM,2020-12-07 15:31:54.118854
11,CI Ida G Israel Chc,Not Reported Yet,Last Reported Time:,2020-12-07 15:31:54.118854
12,Co-op City Retail Space,No Wait Time,Last Reported Time: 10:05 AM,2020-12-07 15:31:54.118854
13,Coney Island Hospital ...,0-30 Minutes*,Last Reported Time: 8:52 AM,2020-12-07 15:31:54.118854
14,CU Jonathan Williams C...,30-60 Minutes*,Last Reported Time: 9:53 AM,2020-12-07 15:31:54.118854
15,CU Vanderbilt,Not Reported Yet,Last Reported Time:,2020-12-07 15:31:54.118854
16,CU Woodside Houses CHC,Not Reported Yet,Last Reported Time:,2020-12-07 15:31:54.118854
17,Cumberland Dtc,Not Reported Yet,Last Reported Time:,2020-12-07 15:31:54.118854
18,Edward Grant,Not Reported Yet,Last Reported Time:,2020-12-07 15:31:54.118854
19,Elmhurst Hospital Cent...,0-30 Minutes,Last Reported Time: 10:05 AM,2020-12-07 15:31:54.118854
20,EY East New York DTC,Not Reported Yet,Last Reported Time:,2020-12-07 15:31:54.118854
21,Fort Hamilton,1-1.5 Hours,Last Reported Time: 10:23 AM,2020-12-07 15:31:54.118854
22,Gouverneur Healthcare,Not Reported Yet,Last Reported Time:,2020-12-07 15:31:54.118854
23,Greenbelt Recreational...,Not Reported Yet,Last Reported Time:,2020-12-07 15:31:54.118854
24,Harlem Hospital Center,30-60 Minutes,Last Reported Time: 10:00 AM,2020-12-07 15:31:54.118854
25,Highbridge Pool,Not Reported Yet,Last Reported Time:,2020-12-07 15:31:54.118854
26,Jacobi Medical Center,0-30 Minutes*,Last Reported Time: 8:17 AM,2020-12-07 15:31:54.118854
27,JFK Airport,Not Reported Yet,Last Reported Time:,2020-12-07 15:31:54.118854
28,Kew Gardens,30-60 Minutes*,Last Reported Time: 9:22 AM,2020-12-07 15:31:54.118854
29,Kings County Hospital ...,0-30 Minutes,Last Reported Time: 10:01 AM,2020-12-07 15:31:54.118854
30,LaGuardia Airport,Not Reported Yet,Last Reported Time:,2020-12-07 15:31:54.118854
31,Lefferts,30-60 Minutes,Last Reported Time: 10:02 AM,2020-12-07 15:31:54.118854
32,Lincoln Medical Center,30-60 Minutes,Last Reported Time: 10:01 AM,2020-12-07 15:31:54.118854
33,Mariners Harbor Library,No Wait Time,Last Reported Time: 9:57 AM,2020-12-07 15:31:54.118854
34,Metropolitan Hospital ...,Not Reported Yet,Last Reported Time:,2020-12-07 15:31:54.118854
