,Location,Wait,Last Updated,Scrape Timestamp
0,196 Albany,Not Reported Yet,Last Reported Time:,2021-01-16 20:55:36.592646
1,4101 White Plains Road,0-30 Minutes,Last Reported Time: 2:32 PM,2021-01-16 20:55:36.592646
2,57 Cleveland Place,No Wait Time*,Last Reported Time: 10:25 AM,2021-01-16 20:55:36.592646
3,Bathgate Contract Post...,Not Reported Yet,Last Reported Time:,2021-01-16 20:55:36.592646
4,Bay Ridge 5th Avenue,1.5-2 Hours,Last Reported Time: 2:27 PM,2021-01-16 20:55:36.592646
5,Beach 39th,0-30 Minutes,Last Reported Time: 2:08 PM,2021-01-16 20:55:36.592646
6,Bellevue Hospital Cent...,Not Reported Yet,Last Reported Time:,2021-01-16 20:55:36.592646
7,Belvis Diagnostic & Tr...,1-1.5 Hours*,Last Reported Time: 1:42 PM,2021-01-16 20:55:36.592646
8,Bensonhurst 14th Avenue,30-60 Minutes*,Last Reported Time: 8:37 AM,2021-01-16 20:55:36.592646
9,Brooklyn Army Terminal,Not Reported Yet,Last Reported Time:,2021-01-16 20:55:36.592646
10,Canarsie Municipal Lot,No Wait Time,Last Reported Time: 2:50 PM,2021-01-16 20:55:36.592646
11,CI Ida G Israel Chc,Not Reported Yet,Last Reported Time:,2021-01-16 20:55:36.592646
12,Co-op City Retail Space,1.5-2 Hours*,Last Reported Time: 12:55 PM,2021-01-16 20:55:36.592646
13,Coney Island Hospital ...,Not Reported Yet,Last Reported Time:,2021-01-16 20:55:36.592646
14,CU Jonathan Williams C...,0-30 Minutes,Last Reported Time: 2:32 PM,2021-01-16 20:55:36.592646
15,CU Vanderbilt,Not Reported Yet,Last Reported Time:,2021-01-16 20:55:36.592646
16,CU Woodside Houses CHC,Not Reported Yet,Last Reported Time:,2021-01-16 20:55:36.592646
17,Cumberland Dtc,Not Reported Yet,Last Reported Time:,2021-01-16 20:55:36.592646
18,Edward Grant,Not Reported Yet,Last Reported Time:,2021-01-16 20:55:36.592646
19,Elmhurst Hospital Cent...,30-60 Minutes,Last Reported Time: 3:02 PM,2021-01-16 20:55:36.592646
20,EY East New York DTC,1-1.5 Hours,Last Reported Time: 2:42 PM,2021-01-16 20:55:36.592646
21,Fort Hamilton,0-30 Minutes,Last Reported Time: 2:00 PM,2021-01-16 20:55:36.592646
22,Gouverneur Healthcare,30-60 Minutes*,Last Reported Time: 12:14 PM,2021-01-16 20:55:36.592646
23,Greenbelt Recreational...,Not Reported Yet,Last Reported Time:,2021-01-16 20:55:36.592646
24,Harlem Hospital Center,0-30 Minutes,Last Reported Time: 2:07 PM,2021-01-16 20:55:36.592646
25,Highbridge Pool,0-30 Minutes,Last Reported Time: 2:01 PM,2021-01-16 20:55:36.592646
26,Jacobi Medical Center,1-1.5 Hours,Last Reported Time: 2:37 PM,2021-01-16 20:55:36.592646
27,JFK Airport,0-30 Minutes,Last Reported Time: 3:09 PM,2021-01-16 20:55:36.592646
28,Kew Gardens,0-30 Minutes,Last Reported Time: 2:13 PM,2021-01-16 20:55:36.592646
29,Kings County Hospital ...,1-1.5 Hours,Last Reported Time: 2:52 PM,2021-01-16 20:55:36.592646
30,LaGuardia Airport,Not Reported Yet,Last Reported Time:,2021-01-16 20:55:36.592646
31,Lefferts,30-60 Minutes*,Last Reported Time: 1:39 PM,2021-01-16 20:55:36.592646
32,Lincoln Medical Center,Not Reported Yet,Last Reported Time:,2021-01-16 20:55:36.592646
33,Mariners Harbor Library,0-30 Minutes,Last Reported Time: 2:21 PM,2021-01-16 20:55:36.592646
34,Metropolitan Hospital ...,Not Reported Yet,Last Reported Time:,2021-01-16 20:55:36.592646
35,Midwood,0-30 Minutes,Last Reported Time: 2:11 PM,2021-01-16 20:55:36.592646
36,Morrisania Diagnostic ...,30-60 Minutes*,Last Reported Time: 1:51 PM,2021-01-16 20:55:36.592646
37,Mt. Loretto,0-30 Minutes,Last Reported Time: 3:10 PM,2021-01-16 20:55:36.592646
38,North Central Bronx Ho...,Not Reported Yet,Last Reported Time:,2021-01-16 20:55:36.592646
39,Northern Boulevard,No Wait Time,Last Reported Time: 2:58 PM,2021-01-16 20:55:36.592646
40,Old Broadway,0-30 Minutes,Last Reported Time: 2:47 PM,2021-01-16 20:55:36.592646
41,Queens Hospital Center,Not Reported Yet,Last Reported Time:,2021-01-16 20:55:36.592646
42,Rain Boston Road Senio...,No Wait Time,Last Reported Time: 3:42 PM,2021-01-16 20:55:36.592646
43,Red Hook Recreational ...,No Wait Time,Last Reported Time: 3:53 PM,2021-01-16 20:55:36.592646
44,Sorrentino Recreationa...,Not Reported Yet,Last Reported Time:,2021-01-16 20:55:36.592646
45,St. Albans,Not Reported Yet,Last Reported Time:,2021-01-16 20:55:36.592646
46,St. George Ferry Termi...,No Wait Time,Last Reported Time: 2:39 PM,2021-01-16 20:55:36.592646
47,St. James Recreational...,0-30 Minutes,Last Reported Time: 2:03 PM,2021-01-16 20:55:36.592646
48,Starret City,0-30 Minutes,Last Reported Time: 3:06 PM,2021-01-16 20:55:36.592646
49,SY Dyckman Lcdla,30-60 Minutes,Last Reported Time: 2:42 PM,2021-01-16 20:55:36.592646
50,SY St. Nicholas Chc,Not Reported Yet,Last Reported Time:,2021-01-16 20:55:36.592646
51,Sydenham,0-30 Minutes,Last Reported Time: 2:13 PM,2021-01-16 20:55:36.592646
52,Sydenham Health Center,Not Reported Yet,Last Reported Time:,2021-01-16 20:55:36.592646
53,Tremont Community Heal...,Not Reported Yet,Last Reported Time:,2021-01-16 20:55:36.592646
54,Windsor Park Library,30-60 Minutes,Last Reported Time: 3:39 PM,2021-01-16 20:55:36.592646
55,Woodhull Medical Center,30-60 Minutes*,Last Reported Time: 11:38 AM,2021-01-16 20:55:36.592646
56,,,,2021-01-16 20:55:36.592646
57,,,,2021-01-16 20:55:36.592646
58,,,,2021-01-16 20:55:36.592646
59,if you require urgent virtual care.,,,2021-01-16 20:55:36.592646
60,Do you want to speak with a medical provider? Visit ExpressCare.nyc or call 631-397-2273,,,2021-01-16 20:55:36.592646
61,,,,2021-01-16 20:55:36.592646
62,,,,2021-01-16 20:55:36.592646
63,,,,2021-01-16 20:55:36.592646
