,Location,Wait,Last Updated,Scrape Timestamp
0,196 Albany,No Wait Time,Last Reported Time: 8:37 AM,2021-03-03 14:49:36.263812
1,4101 White Plains Road,0-30 Minutes,Last Reported Time: 9:09 AM,2021-03-03 14:49:36.263812
2,57 Cleveland Place,Not Reported Yet,Last Reported Time:,2021-03-03 14:49:36.263812
3,Bay Ridge 5th Avenue,No Wait Time,Last Reported Time: 8:08 AM,2021-03-03 14:49:36.263812
4,Beach 39th,Not Reported Yet,Last Reported Time:,2021-03-03 14:49:36.263812
5,Bellevue Hospital Cent...,30-60 Minutes,Last Reported Time: 8:09 AM,2021-03-03 14:49:36.263812
6,Belvis Diagnostic & Tr...,Not Reported Yet,Last Reported Time:,2021-03-03 14:49:36.263812
7,Bensonhurst 14th Avenue,No Wait Time,Last Reported Time: 9:15 AM,2021-03-03 14:49:36.263812
8,Canarsie Municipal Lot,No Wait Time,Last Reported Time: 8:50 AM,2021-03-03 14:49:36.263812
9,CI Ida G Israel Chc,Not Reported Yet,Last Reported Time:,2021-03-03 14:49:36.263812
10,Co-op City Retail Space,Not Reported Yet,Last Reported Time:,2021-03-03 14:49:36.263812
11,Coney Island Hospital ...,Not Reported Yet,Last Reported Time:,2021-03-03 14:49:36.263812
12,CU Homecrest,0-30 Minutes,Last Reported Time: 9:32 AM,2021-03-03 14:49:36.263812
13,CU Jonathan Williams C...,0-30 Minutes,Last Reported Time: 9:32 AM,2021-03-03 14:49:36.263812
14,CU Vanderbilt,Not Reported Yet,Last Reported Time:,2021-03-03 14:49:36.263812
15,CU Woodside Houses CHC,Not Reported Yet,Last Reported Time:,2021-03-03 14:49:36.263812
16,Cumberland Dtc,Not Reported Yet,Last Reported Time:,2021-03-03 14:49:36.263812
17,Edward Grant,Not Reported Yet,Last Reported Time:,2021-03-03 14:49:36.263812
18,Elmhurst Hospital Cent...,Not Reported Yet,Last Reported Time:,2021-03-03 14:49:36.263812
19,EY East New York DTC,No Wait Time,Last Reported Time: 8:10 AM,2021-03-03 14:49:36.263812
20,Fort Hamilton,No Wait Time,Last Reported Time: 9:30 AM,2021-03-03 14:49:36.263812
21,Gouverneur Healthcare,0-30 Minutes,Last Reported Time: 8:42 AM,2021-03-03 14:49:36.263812
22,Greenbelt Recreational...,Not Reported Yet,Last Reported Time:,2021-03-03 14:49:36.263812
23,Harlem Hospital Center,Not Reported Yet,Last Reported Time:,2021-03-03 14:49:36.263812
24,Highbridge Pool,0-30 Minutes,Last Reported Time: 8:56 AM,2021-03-03 14:49:36.263812
25,Jacobi Medical Center,Not Reported Yet,Last Reported Time:,2021-03-03 14:49:36.263812
26,JFK Airport,0-30 Minutes,Last Reported Time: 8:52 AM,2021-03-03 14:49:36.263812
27,Kew Gardens,0-30 Minutes,Last Reported Time: 8:12 AM,2021-03-03 14:49:36.263812
28,Kings County Hospital ...,Not Reported Yet,Last Reported Time:,2021-03-03 14:49:36.263812
29,LaGuardia Airport,Not Reported Yet,Last Reported Time:,2021-03-03 14:49:36.263812
30,Lefferts,0-30 Minutes,Last Reported Time: 8:13 AM,2021-03-03 14:49:36.263812
31,Lincoln Medical Center,No Wait Time,Last Reported Time: 9:30 AM,2021-03-03 14:49:36.263812
32,Mariners Harbor Library,Not Reported Yet,Last Reported Time:,2021-03-03 14:49:36.263812
33,Metropolitan Hospital ...,Not Reported Yet,Last Reported Time:,2021-03-03 14:49:36.263812
34,Midwood,0-30 Minutes,Last Reported Time: 9:12 AM,2021-03-03 14:49:36.263812
35,Morrisania Diagnostic ...,Not Reported Yet,Last Reported Time:,2021-03-03 14:49:36.263812
36,North Central Bronx Ho...,Not Reported Yet,Last Reported Time:,2021-03-03 14:49:36.263812
37,Northern Boulevard,Not Reported Yet,Last Reported Time:,2021-03-03 14:49:36.263812
38,Old Broadway,Not Reported Yet,Last Reported Time:,2021-03-03 14:49:36.263812
39,Queens Hospital Center,Not Reported Yet,Last Reported Time:,2021-03-03 14:49:36.263812
40,Rain Boston Road Senio...,No Wait Time,Last Reported Time: 9:41 AM,2021-03-03 14:49:36.263812
41,Red Hook Recreational ...,0-30 Minutes,Last Reported Time: 9:33 AM,2021-03-03 14:49:36.263812
42,Sorrentino Recreationa...,Not Reported Yet,Last Reported Time:,2021-03-03 14:49:36.263812
43,St. Albans,Not Reported Yet,Last Reported Time:,2021-03-03 14:49:36.263812
44,St. George Ferry Termi...,1-1.5 Hours,Last Reported Time: 8:03 AM,2021-03-03 14:49:36.263812
45,St. James Recreational...,Not Reported Yet,Last Reported Time:,2021-03-03 14:49:36.263812
46,Starret City,No Wait Time,Last Reported Time: 9:35 AM,2021-03-03 14:49:36.263812
47,SY Dyckman Lcdla,0-30 Minutes,Last Reported Time: 8:29 AM,2021-03-03 14:49:36.263812
48,SY St. Nicholas Chc,Not Reported Yet,Last Reported Time:,2021-03-03 14:49:36.263812
49,Sydenham,30-60 Minutes,Last Reported Time: 9:27 AM,2021-03-03 14:49:36.263812
50,Sydenham Health Center,Not Reported Yet,Last Reported Time:,2021-03-03 14:49:36.263812
51,Tremont Community Heal...,Not Reported Yet,Last Reported Time:,2021-03-03 14:49:36.263812
52,Windsor Park Library,30-60 Minutes,Last Reported Time: 9:44 AM,2021-03-03 14:49:36.263812
53,Woodhull Medical Center,Not Reported Yet,Last Reported Time:,2021-03-03 14:49:36.263812
54,Last Reported Time:,,,2021-03-03 14:49:36.263812
55,Last Reported Time:,,,2021-03-03 14:49:36.263812
56,,,,2021-03-03 14:49:36.263812
57,,,,2021-03-03 14:49:36.263812
58,,,,2021-03-03 14:49:36.263812
59,if you require urgent virtual care.,,,2021-03-03 14:49:36.263812
60,Do you want to speak with a medical provider? Visit ExpressCare.nyc or call 631-397-2273,,,2021-03-03 14:49:36.263812
61,,,,2021-03-03 14:49:36.263812
62,,,,2021-03-03 14:49:36.263812
63,,,,2021-03-03 14:49:36.263812
