,Location,Wait,Last Updated,Scrape Timestamp
0,196 Albany,Not Reported Yet,Last Reported Time:,2021-01-31 19:19:19.374549
1,4101 White Plains Road,No Wait Time*,Last Reported Time: 10:17 AM,2021-01-31 19:19:19.374549
2,57 Cleveland Place,0-30 Minutes,Last Reported Time: 2:11 PM,2021-01-31 19:19:19.374549
3,Bay Ridge 5th Avenue,0-30 Minutes*,Last Reported Time: 12:04 PM,2021-01-31 19:19:19.374549
4,Beach 39th,0-30 Minutes,Last Reported Time: 2:07 PM,2021-01-31 19:19:19.374549
5,Bellevue Hospital Cent...,Not Reported Yet,Last Reported Time:,2021-01-31 19:19:19.374549
6,Belvis Diagnostic & Tr...,0-30 Minutes*,Last Reported Time: 11:57 AM,2021-01-31 19:19:19.374549
7,Bensonhurst 14th Avenue,0-30 Minutes*,Last Reported Time: 12:47 PM,2021-01-31 19:19:19.374549
8,Canarsie Municipal Lot,No Wait Time*,Last Reported Time: 11:37 AM,2021-01-31 19:19:19.374549
9,CI Ida G Israel Chc,Not Reported Yet,Last Reported Time:,2021-01-31 19:19:19.374549
10,Co-op City Retail Space,0-30 Minutes*,Last Reported Time: 1:59 PM,2021-01-31 19:19:19.374549
11,Coney Island Hospital ...,Not Reported Yet,Last Reported Time:,2021-01-31 19:19:19.374549
12,CU Jonathan Williams C...,0-30 Minutes*,Last Reported Time: 1:43 PM,2021-01-31 19:19:19.374549
13,CU Vanderbilt,Not Reported Yet,Last Reported Time:,2021-01-31 19:19:19.374549
14,CU Woodside Houses CHC,Not Reported Yet,Last Reported Time:,2021-01-31 19:19:19.374549
15,Cumberland Dtc,Not Reported Yet,Last Reported Time:,2021-01-31 19:19:19.374549
16,Edward Grant,Not Reported Yet,Last Reported Time:,2021-01-31 19:19:19.374549
17,Elmhurst Hospital Cent...,0-30 Minutes*,Last Reported Time: 10:25 AM,2021-01-31 19:19:19.374549
18,EY East New York DTC,0-30 Minutes*,Last Reported Time: 1:51 PM,2021-01-31 19:19:19.374549
19,Fort Hamilton,0-30 Minutes*,Last Reported Time: 12:49 PM,2021-01-31 19:19:19.374549
20,Gouverneur Healthcare,0-30 Minutes*,Last Reported Time: 1:05 PM,2021-01-31 19:19:19.374549
21,Greenbelt Recreational...,0-30 Minutes,Last Reported Time: 2:13 PM,2021-01-31 19:19:19.374549
22,Harlem Hospital Center,0-30 Minutes*,Last Reported Time: 12:15 PM,2021-01-31 19:19:19.374549
23,Highbridge Pool,No Wait Time*,Last Reported Time: 12:18 PM,2021-01-31 19:19:19.374549
24,Jacobi Medical Center,Not Reported Yet,Last Reported Time:,2021-01-31 19:19:19.374549
25,JFK Airport,Not Reported Yet,Last Reported Time:,2021-01-31 19:19:19.374549
26,Kew Gardens,Not Reported Yet,Last Reported Time:,2021-01-31 19:19:19.374549
27,Kings County Hospital ...,1-1.5 Hours*,Last Reported Time: 12:13 PM,2021-01-31 19:19:19.374549
28,LaGuardia Airport,Not Reported Yet,Last Reported Time:,2021-01-31 19:19:19.374549
29,Lefferts,0-30 Minutes*,Last Reported Time: 12:00 PM,2021-01-31 19:19:19.374549
30,Lincoln Medical Center,No Wait Time,Last Reported Time: 2:10 PM,2021-01-31 19:19:19.374549
31,Mariners Harbor Library,0-30 Minutes*,Last Reported Time: 1:01 PM,2021-01-31 19:19:19.374549
32,Metropolitan Hospital ...,Not Reported Yet,Last Reported Time:,2021-01-31 19:19:19.374549
33,Midwood,0-30 Minutes*,Last Reported Time: 12:24 PM,2021-01-31 19:19:19.374549
34,Morrisania Diagnostic ...,Not Reported Yet,Last Reported Time:,2021-01-31 19:19:19.374549
35,Mt. Loretto,0-30 Minutes*,Last Reported Time: 1:17 PM,2021-01-31 19:19:19.374549
36,North Central Bronx Ho...,Not Reported Yet,Last Reported Time:,2021-01-31 19:19:19.374549
37,Northern Boulevard,Not Reported Yet,Last Reported Time:,2021-01-31 19:19:19.374549
38,Old Broadway,0-30 Minutes,Last Reported Time: 2:01 PM,2021-01-31 19:19:19.374549
