,Location,Wait,Last Updated,Scrape Timestamp
0,196 Albany,No Wait Time,Last Reported Time: 4:09 PM,2021-03-11 22:37:19.615177
1,4101 White Plains Road,Not Reported Yet,Last Reported Time:,2021-03-11 22:37:19.615177
2,57 Cleveland Place,No Wait Time,Last Reported Time: 4:20 PM,2021-03-11 22:37:19.615177
3,Bay Ridge 5th Avenue,0-30 Minutes,Last Reported Time: 4:13 PM,2021-03-11 22:37:19.615177
4,Beach 39th,Not Reported Yet,Last Reported Time:,2021-03-11 22:37:19.615177
5,Bellevue Hospital Cent...,30-60 Minutes*,Last Reported Time: 2:00 PM,2021-03-11 22:37:19.615177
6,Belvis Diagnostic & Tr...,0-30 Minutes*,Last Reported Time: 11:57 AM,2021-03-11 22:37:19.615177
7,Bensonhurst 14th Avenue,No Wait Time,Last Reported Time: 5:16 PM,2021-03-11 22:37:19.615177
8,Canarsie Municipal Lot,No Wait Time,Last Reported Time: 5:01 PM,2021-03-11 22:37:19.615177
9,CI Ida G Israel Chc,Not Reported Yet,Last Reported Time:,2021-03-11 22:37:19.615177
10,Co-op City Retail Space,0-30 Minutes,Last Reported Time: 5:04 PM,2021-03-11 22:37:19.615177
11,Coney Island Hospital ...,Not Reported Yet,Last Reported Time:,2021-03-11 22:37:19.615177
12,CU Homecrest,No Wait Time*,Last Reported Time: 3:00 PM,2021-03-11 22:37:19.615177
13,CU Jonathan Williams C...,No Wait Time*,Last Reported Time: 3:00 PM,2021-03-11 22:37:19.615177
14,CU Vanderbilt,Not Reported Yet,Last Reported Time:,2021-03-11 22:37:19.615177
15,CU Woodside Houses CHC,Not Reported Yet,Last Reported Time:,2021-03-11 22:37:19.615177
16,Cumberland Dtc,No Wait Time*,Last Reported Time: 2:23 PM,2021-03-11 22:37:19.615177
17,Edward Grant,Not Reported Yet,Last Reported Time:,2021-03-11 22:37:19.615177
18,Elmhurst Hospital Cent...,Not Reported Yet,Last Reported Time:,2021-03-11 22:37:19.615177
19,EY East New York DTC,0-30 Minutes*,Last Reported Time: 3:21 PM,2021-03-11 22:37:19.615177
20,Fort Hamilton,0-30 Minutes,Last Reported Time: 4:05 PM,2021-03-11 22:37:19.615177
21,Gouverneur Healthcare,No Wait Time*,Last Reported Time: 1:09 PM,2021-03-11 22:37:19.615177
22,Greenbelt Recreational...,Not Reported Yet,Last Reported Time:,2021-03-11 22:37:19.615177
23,Harlem Hospital Center,No Wait Time*,Last Reported Time: 2:00 PM,2021-03-11 22:37:19.615177
24,Highbridge Pool,No Wait Time,Last Reported Time: 4:27 PM,2021-03-11 22:37:19.615177
25,Jacobi Medical Center,Not Reported Yet,Last Reported Time:,2021-03-11 22:37:19.615177
26,JFK Airport,0-30 Minutes,Last Reported Time: 4:33 PM,2021-03-11 22:37:19.615177
27,Kew Gardens,0-30 Minutes*,Last Reported Time: 8:09 AM,2021-03-11 22:37:19.615177
28,Kings County Hospital ...,0-30 Minutes,Last Reported Time: 5:06 PM,2021-03-11 22:37:19.615177
29,LaGuardia Airport,Not Reported Yet,Last Reported Time:,2021-03-11 22:37:19.615177
30,Lefferts,0-30 Minutes*,Last Reported Time: 2:04 PM,2021-03-11 22:37:19.615177
31,Lincoln Medical Center,No Wait Time,Last Reported Time: 4:00 PM,2021-03-11 22:37:19.615177
32,Mariners Harbor Library,0-30 Minutes,Last Reported Time: 4:12 PM,2021-03-11 22:37:19.615177
33,Metropolitan Hospital ...,Not Reported Yet,Last Reported Time:,2021-03-11 22:37:19.615177
34,Midwood,0-30 Minutes,Last Reported Time: 3:39 PM,2021-03-11 22:37:19.615177
35,Morrisania Diagnostic ...,0-30 Minutes*,Last Reported Time: 9:50 AM,2021-03-11 22:37:19.615177
36,North Central Bronx Ho...,Not Reported Yet,Last Reported Time:,2021-03-11 22:37:19.615177
37,Northern Boulevard,Not Reported Yet,Last Reported Time:,2021-03-11 22:37:19.615177
38,Old Broadway,0-30 Minutes,Last Reported Time: 4:03 PM,2021-03-11 22:37:19.615177
39,Queens Hospital Center,Not Reported Yet,Last Reported Time:,2021-03-11 22:37:19.615177
40,Rain Boston Road Senio...,No Wait Time*,Last Reported Time: 3:43 PM,2021-03-11 22:37:19.615177
41,Red Hook Recreational ...,No Wait Time,Last Reported Time: 4:22 PM,2021-03-11 22:37:19.615177
42,Sorrentino Recreationa...,Not Reported Yet,Last Reported Time:,2021-03-11 22:37:19.615177
43,St. Albans,Not Reported Yet,Last Reported Time:,2021-03-11 22:37:19.615177
44,St. George Ferry Termi...,0-30 Minutes*,Last Reported Time: 2:36 PM,2021-03-11 22:37:19.615177
45,St. James Recreational...,Not Reported Yet,Last Reported Time:,2021-03-11 22:37:19.615177
46,Starret City,No Wait Time,Last Reported Time: 4:55 PM,2021-03-11 22:37:19.615177
47,SY Dyckman Lcdla,0-30 Minutes*,Last Reported Time: 10:09 AM,2021-03-11 22:37:19.615177
48,SY St. Nicholas Chc,Not Reported Yet,Last Reported Time:,2021-03-11 22:37:19.615177
49,Sydenham,0-30 Minutes*,Last Reported Time: 12:05 PM,2021-03-11 22:37:19.615177
50,Sydenham Health Center,Not Reported Yet,Last Reported Time:,2021-03-11 22:37:19.615177
51,Tremont Community Heal...,Not Reported Yet,Last Reported Time:,2021-03-11 22:37:19.615177
52,Windsor Park Library,0-30 Minutes*,Last Reported Time: 12:19 PM,2021-03-11 22:37:19.615177
53,Woodhull Medical Center,Not Reported Yet,Last Reported Time:,2021-03-11 22:37:19.615177
54,Last Reported Time:,,,2021-03-11 22:37:19.615177
55,Last Reported Time:,,,2021-03-11 22:37:19.615177
56,,,,2021-03-11 22:37:19.615177
57,,,,2021-03-11 22:37:19.615177
58,,,,2021-03-11 22:37:19.615177
59,if you require urgent virtual care.,,,2021-03-11 22:37:19.615177
60,Do you want to speak with a medical provider? Visit ExpressCare.nyc or call 631-397-2273,,,2021-03-11 22:37:19.615177
61,,,,2021-03-11 22:37:19.615177
62,,,,2021-03-11 22:37:19.615177
63,,,,2021-03-11 22:37:19.615177
