,Location,Wait,Last Updated,Scrape Timestamp
0,196 Albany,No Wait Time,Last Reported Time: 4:15 PM,2021-03-10 23:56:49.691996
1,4101 White Plains Road,Not Reported Yet,Last Reported Time:,2021-03-10 23:56:49.691996
2,57 Cleveland Place,No Wait Time,Last Reported Time: 4:02 PM,2021-03-10 23:56:49.691996
3,Bay Ridge 5th Avenue,No Wait Time*,Last Reported Time: 3:23 PM,2021-03-10 23:56:49.691996
4,Beach 39th,Not Reported Yet,Last Reported Time:,2021-03-10 23:56:49.691996
5,Bellevue Hospital Cent...,1-1.5 Hours*,Last Reported Time: 12:57 PM,2021-03-10 23:56:49.691996
6,Belvis Diagnostic & Tr...,0-30 Minutes*,Last Reported Time: 2:04 PM,2021-03-10 23:56:49.691996
7,Bensonhurst 14th Avenue,Not Reported Yet,Last Reported Time:,2021-03-10 23:56:49.691996
8,Canarsie Municipal Lot,No Wait Time,Last Reported Time: 4:40 PM,2021-03-10 23:56:49.691996
9,CI Ida G Israel Chc,Not Reported Yet,Last Reported Time:,2021-03-10 23:56:49.691996
10,Co-op City Retail Space,No Wait Time,Last Reported Time: 4:20 PM,2021-03-10 23:56:49.691996
11,Coney Island Hospital ...,Not Reported Yet,Last Reported Time:,2021-03-10 23:56:49.691996
12,CU Homecrest,No Wait Time*,Last Reported Time: 3:08 PM,2021-03-10 23:56:49.691996
13,CU Jonathan Williams C...,0-30 Minutes*,Last Reported Time: 3:08 PM,2021-03-10 23:56:49.691996
14,CU Vanderbilt,Not Reported Yet,Last Reported Time:,2021-03-10 23:56:49.691996
15,CU Woodside Houses CHC,Not Reported Yet,Last Reported Time:,2021-03-10 23:56:49.691996
16,Cumberland Dtc,No Wait Time*,Last Reported Time: 12:03 PM,2021-03-10 23:56:49.691996
17,Edward Grant,Not Reported Yet,Last Reported Time:,2021-03-10 23:56:49.691996
18,Elmhurst Hospital Cent...,Not Reported Yet,Last Reported Time:,2021-03-10 23:56:49.691996
19,EY East New York DTC,0-30 Minutes*,Last Reported Time: 2:39 PM,2021-03-10 23:56:49.691996
20,Fort Hamilton,0-30 Minutes,Last Reported Time: 5:09 PM,2021-03-10 23:56:49.691996
21,Gouverneur Healthcare,0-30 Minutes*,Last Reported Time: 11:10 AM,2021-03-10 23:56:49.691996
22,Greenbelt Recreational...,0-30 Minutes,Last Reported Time: 4:04 PM,2021-03-10 23:56:49.691996
23,Harlem Hospital Center,No Wait Time*,Last Reported Time: 2:13 PM,2021-03-10 23:56:49.691996
24,Highbridge Pool,No Wait Time*,Last Reported Time: 10:45 AM,2021-03-10 23:56:49.691996
25,Jacobi Medical Center,Not Reported Yet,Last Reported Time:,2021-03-10 23:56:49.691996
26,JFK Airport,Not Reported Yet,Last Reported Time:,2021-03-10 23:56:49.691996
27,Kew Gardens,No Wait Time*,Last Reported Time: 2:49 PM,2021-03-10 23:56:49.691996
28,Kings County Hospital ...,0-30 Minutes,Last Reported Time: 4:50 PM,2021-03-10 23:56:49.691996
29,LaGuardia Airport,Not Reported Yet,Last Reported Time:,2021-03-10 23:56:49.691996
30,Lefferts,0-30 Minutes,Last Reported Time: 4:05 PM,2021-03-10 23:56:49.691996
31,Lincoln Medical Center,No Wait Time,Last Reported Time: 4:00 PM,2021-03-10 23:56:49.691996
32,Mariners Harbor Library,No Wait Time*,Last Reported Time: 3:46 PM,2021-03-10 23:56:49.691996
33,Metropolitan Hospital ...,Not Reported Yet,Last Reported Time:,2021-03-10 23:56:49.691996
34,Midwood,No Wait Time,Last Reported Time: 3:59 PM,2021-03-10 23:56:49.691996
35,Morrisania Diagnostic ...,0-30 Minutes*,Last Reported Time: 1:50 PM,2021-03-10 23:56:49.691996
36,North Central Bronx Ho...,Not Reported Yet,Last Reported Time:,2021-03-10 23:56:49.691996
37,Northern Boulevard,Not Reported Yet,Last Reported Time:,2021-03-10 23:56:49.691996
38,Old Broadway,0-30 Minutes,Last Reported Time: 4:22 PM,2021-03-10 23:56:49.691996
39,Queens Hospital Center,Not Reported Yet,Last Reported Time:,2021-03-10 23:56:49.691996
40,Rain Boston Road Senio...,Not Reported Yet,Last Reported Time:,2021-03-10 23:56:49.691996
