,Location,Wait,Last Updated,Scrape Timestamp
0,196 Albany,No Wait Time*,Last Reported Time: 9:19 AM,2021-01-06 15:46:47.687968
1,4101 White Plains Road,30-60 Minutes,Last Reported Time: 10:00 AM,2021-01-06 15:46:47.687968
2,57 Cleveland Place,Not Reported Yet,Last Reported Time:,2021-01-06 15:46:47.687968
3,Bathgate Contract Post...,Not Reported Yet,Last Reported Time:,2021-01-06 15:46:47.687968
4,Bay Ridge 5th Avenue,30-60 Minutes,Last Reported Time: 10:03 AM,2021-01-06 15:46:47.687968
5,Beach 39th,1-1.5 Hours*,Last Reported Time: 9:23 AM,2021-01-06 15:46:47.687968
6,Bellevue Hospital Cent...,1.5-2 Hours,Last Reported Time: 10:00 AM,2021-01-06 15:46:47.687968
7,Belvis Diagnostic & Tr...,1.5-2 Hours*,Last Reported Time: 9:53 AM,2021-01-06 15:46:47.687968
8,Bensonhurst 14th Avenue,1-1.5 Hours*,Last Reported Time: 9:34 AM,2021-01-06 15:46:47.687968
9,Brooklyn Army Terminal,Not Reported Yet,Last Reported Time:,2021-01-06 15:46:47.687968
10,Canarsie Municipal Lot,Not Reported Yet,Last Reported Time:,2021-01-06 15:46:47.687968
11,CI Ida G Israel Chc,Not Reported Yet,Last Reported Time:,2021-01-06 15:46:47.687968
12,Co-op City Retail Space,1-1.5 Hours,Last Reported Time: 10:07 AM,2021-01-06 15:46:47.687968
13,Coney Island Hospital ...,30-60 Minutes*,Last Reported Time: 9:31 AM,2021-01-06 15:46:47.687968
14,CU Jonathan Williams C...,0-30 Minutes*,Last Reported Time: 9:12 AM,2021-01-06 15:46:47.687968
15,CU Vanderbilt,Not Reported Yet,Last Reported Time:,2021-01-06 15:46:47.687968
16,CU Woodside Houses CHC,Not Reported Yet,Last Reported Time:,2021-01-06 15:46:47.687968
17,Cumberland Dtc,1.5-2 Hours*,Last Reported Time: 9:38 AM,2021-01-06 15:46:47.687968
18,Edward Grant,Not Reported Yet,Last Reported Time:,2021-01-06 15:46:47.687968
19,Elmhurst Hospital Cent...,Not Reported Yet,Last Reported Time:,2021-01-06 15:46:47.687968
20,EY East New York DTC,0-30 Minutes,Last Reported Time: 10:26 AM,2021-01-06 15:46:47.687968
21,Fort Hamilton,30-60 Minutes,Last Reported Time: 10:05 AM,2021-01-06 15:46:47.687968
22,Gouverneur Healthcare,1-1.5 Hours*,Last Reported Time: 9:35 AM,2021-01-06 15:46:47.687968
23,Greenbelt Recreational...,30-60 Minutes,Last Reported Time: 10:42 AM,2021-01-06 15:46:47.687968
24,Harlem Hospital Center,1-1.5 Hours,Last Reported Time: 10:25 AM,2021-01-06 15:46:47.687968
25,Highbridge Pool,More Than 2 Hours,Last Reported Time: 10:00 AM,2021-01-06 15:46:47.687968
26,Jacobi Medical Center,Not Reported Yet,Last Reported Time:,2021-01-06 15:46:47.687968
27,JFK Airport,0-30 Minutes*,Last Reported Time: 9:07 AM,2021-01-06 15:46:47.687968
28,Kew Gardens,30-60 Minutes*,Last Reported Time: 8:50 AM,2021-01-06 15:46:47.687968
29,Kings County Hospital ...,0-30 Minutes,Last Reported Time: 10:40 AM,2021-01-06 15:46:47.687968
30,LaGuardia Airport,Not Reported Yet,Last Reported Time:,2021-01-06 15:46:47.687968
31,Lefferts,1.5-2 Hours*,Last Reported Time: 9:29 AM,2021-01-06 15:46:47.687968
32,Lincoln Medical Center,30-60 Minutes*,Last Reported Time: 9:16 AM,2021-01-06 15:46:47.687968
33,Mariners Harbor Library,30-60 Minutes,Last Reported Time: 10:30 AM,2021-01-06 15:46:47.687968
34,Metropolitan Hospital ...,1-1.5 Hours*,Last Reported Time: 9:44 AM,2021-01-06 15:46:47.687968
35,Midwood,Not Reported Yet,Last Reported Time:,2021-01-06 15:46:47.687968
36,Morrisania Diagnostic ...,Not Reported Yet,Last Reported Time:,2021-01-06 15:46:47.687968
37,Mt. Loretto,30-60 Minutes,Last Reported Time: 10:00 AM,2021-01-06 15:46:47.687968
38,North Central Bronx Ho...,Not Reported Yet,Last Reported Time:,2021-01-06 15:46:47.687968
39,Northern Boulevard,30-60 Minutes*,Last Reported Time: 9:58 AM,2021-01-06 15:46:47.687968
40,Old Broadway,Not Reported Yet,Last Reported Time:,2021-01-06 15:46:47.687968
41,Queens Hospital Center,More Than 2 Hours,Last Reported Time: 10:01 AM,2021-01-06 15:46:47.687968
42,Rain Boston Road Senio...,No Wait Time*,Last Reported Time: 9:37 AM,2021-01-06 15:46:47.687968
43,Red Hook Recreational ...,30-60 Minutes,Last Reported Time: 10:00 AM,2021-01-06 15:46:47.687968
44,Sorrentino Recreationa...,Not Reported Yet,Last Reported Time:,2021-01-06 15:46:47.687968
45,St. Albans,Not Reported Yet,Last Reported Time:,2021-01-06 15:46:47.687968
46,St. George Ferry Termi...,1-1.5 Hours,Last Reported Time: 10:28 AM,2021-01-06 15:46:47.687968
47,St. James Recreational...,Not Reported Yet,Last Reported Time:,2021-01-06 15:46:47.687968
48,Starret City,1-1.5 Hours*,Last Reported Time: 9:31 AM,2021-01-06 15:46:47.687968
49,SY Dyckman Lcdla,Not Reported Yet,Last Reported Time:,2021-01-06 15:46:47.687968
50,SY St. Nicholas Chc,Not Reported Yet,Last Reported Time:,2021-01-06 15:46:47.687968
51,Sydenham,Not Reported Yet,Last Reported Time:,2021-01-06 15:46:47.687968
52,Sydenham Health Center,Not Reported Yet,Last Reported Time:,2021-01-06 15:46:47.687968
53,Tremont Community Heal...,Not Reported Yet,Last Reported Time:,2021-01-06 15:46:47.687968
54,Windsor Park Library,1.5-2 Hours*,Last Reported Time: 9:24 AM,2021-01-06 15:46:47.687968
55,Woodhull Medical Center,Not Reported Yet,Last Reported Time:,2021-01-06 15:46:47.687968
56,,,,2021-01-06 15:46:47.687968
57,,,,2021-01-06 15:46:47.687968
58,,,,2021-01-06 15:46:47.687968
59,require urgent virtual care.,,,2021-01-06 15:46:47.687968
60,Unable to visit a testing location today? Visit ExpressCare.nyc or call 631-397-2273 if you,,,2021-01-06 15:46:47.687968
61,,,,2021-01-06 15:46:47.687968
62,,,,2021-01-06 15:46:47.687968
63,,,,2021-01-06 15:46:47.687968
