,Location,Wait,Last Updated,Scrape Timestamp
0,196 Albany,No Wait Time*,Last Reported Time: 11:15 AM,2020-12-17 17:14:35.606598
1,4101 White Plains Road,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
2,57 Cleveland Place,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
3,Bathgate Contract Post...,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
4,Bay Ridge 5th Avenue,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
5,Beach 39th,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
6,Bellevue Hospital Cent...,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
7,Belvis Diagnostic & Tr...,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
8,Bensonhurst 14th Avenue,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
9,Brooklyn Army Terminal,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
10,Canarsie Municipal Lot,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
11,CI Ida G Israel Chc,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
12,Co-op City Retail Space,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
13,Coney Island Hospital ...,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
14,CU Jonathan Williams C...,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
15,CU Vanderbilt,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
16,CU Woodside Houses CHC,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
17,Cumberland Dtc,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
18,Edward Grant,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
19,Elmhurst Hospital Cent...,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
20,EY East New York DTC,0-30 Minutes*,Last Reported Time: 11:07 AM,2020-12-17 17:14:35.606598
21,Fort Hamilton,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
22,Gouverneur Healthcare,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
23,Greenbelt Recreational...,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
24,Harlem Hospital Center,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
25,Highbridge Pool,30-60 Minutes,Last Reported Time: 12:02 PM,2020-12-17 17:14:35.606598
26,Jacobi Medical Center,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
27,JFK Airport,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
28,Kew Gardens,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
29,Kings County Hospital ...,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
30,LaGuardia Airport,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
31,Lefferts,1-1.5 Hours*,Last Reported Time: 11:56 AM,2020-12-17 17:14:35.606598
32,Lincoln Medical Center,No Wait Time*,Last Reported Time: 10:05 AM,2020-12-17 17:14:35.606598
33,Mariners Harbor Library,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
34,Metropolitan Hospital ...,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
35,Midwood,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
36,Morrisania Diagnostic ...,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
37,Mt. Loretto,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
38,North Central Bronx Ho...,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
39,Northern Boulevard,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
40,Old Broadway,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
41,Queens Hospital Center,0-30 Minutes,Last Reported Time: 12:00 PM,2020-12-17 17:14:35.606598
42,Rain Boston Road Senio...,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
43,Red Hook Recreational ...,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
44,Sorrentino Recreationa...,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
45,St. Albans,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
46,St. George Ferry Termi...,30-60 Minutes,Last Reported Time: 12:05 PM,2020-12-17 17:14:35.606598
47,St. James Recreational...,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
48,Starret City,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
49,SY Dyckman Lcdla,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
50,SY St. Nicholas Chc,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
51,Sydenham,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
52,Sydenham Health Center,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
53,Tremont Community Heal...,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
54,Windsor Park Library,Not Reported Yet,Last Reported Time:,2020-12-17 17:14:35.606598
55,Woodhull Medical Center,0-30 Minutes*,Last Reported Time: 11:24 AM,2020-12-17 17:14:35.606598
