,Location,Wait,Last Updated,Scrape Timestamp
0,196 Albany,Not Reported Yet,Last Reported Time:,2021-01-31 21:31:45.717666
1,4101 White Plains Road,No Wait Time*,Last Reported Time: 10:17 AM,2021-01-31 21:31:45.717666
2,57 Cleveland Place,No Wait Time,Last Reported Time: 4:26 PM,2021-01-31 21:31:45.717666
3,Bay Ridge 5th Avenue,0-30 Minutes*,Last Reported Time: 2:51 PM,2021-01-31 21:31:45.717666
4,Beach 39th,0-30 Minutes,Last Reported Time: 4:27 PM,2021-01-31 21:31:45.717666
5,Bellevue Hospital Cent...,Not Reported Yet,Last Reported Time:,2021-01-31 21:31:45.717666
6,Belvis Diagnostic & Tr...,0-30 Minutes*,Last Reported Time: 11:57 AM,2021-01-31 21:31:45.717666
7,Bensonhurst 14th Avenue,0-30 Minutes,Last Reported Time: 4:23 PM,2021-01-31 21:31:45.717666
8,Canarsie Municipal Lot,No Wait Time*,Last Reported Time: 2:15 PM,2021-01-31 21:31:45.717666
9,CI Ida G Israel Chc,Not Reported Yet,Last Reported Time:,2021-01-31 21:31:45.717666
10,Co-op City Retail Space,0-30 Minutes,Last Reported Time: 4:25 PM,2021-01-31 21:31:45.717666
11,Coney Island Hospital ...,Not Reported Yet,Last Reported Time:,2021-01-31 21:31:45.717666
12,CU Jonathan Williams C...,0-30 Minutes*,Last Reported Time: 1:43 PM,2021-01-31 21:31:45.717666
13,CU Vanderbilt,Not Reported Yet,Last Reported Time:,2021-01-31 21:31:45.717666
14,CU Woodside Houses CHC,Not Reported Yet,Last Reported Time:,2021-01-31 21:31:45.717666
15,Cumberland Dtc,Not Reported Yet,Last Reported Time:,2021-01-31 21:31:45.717666
16,Edward Grant,Not Reported Yet,Last Reported Time:,2021-01-31 21:31:45.717666
17,Elmhurst Hospital Cent...,0-30 Minutes*,Last Reported Time: 10:25 AM,2021-01-31 21:31:45.717666
18,EY East New York DTC,0-30 Minutes*,Last Reported Time: 3:15 PM,2021-01-31 21:31:45.717666
19,Fort Hamilton,0-30 Minutes*,Last Reported Time: 12:49 PM,2021-01-31 21:31:45.717666
20,Gouverneur Healthcare,0-30 Minutes*,Last Reported Time: 1:05 PM,2021-01-31 21:31:45.717666
21,Greenbelt Recreational...,0-30 Minutes,Last Reported Time: 4:24 PM,2021-01-31 21:31:45.717666
22,Harlem Hospital Center,0-30 Minutes*,Last Reported Time: 2:19 PM,2021-01-31 21:31:45.717666
23,Highbridge Pool,30-60 Minutes*,Last Reported Time: 2:22 PM,2021-01-31 21:31:45.717666
24,Jacobi Medical Center,Not Reported Yet,Last Reported Time:,2021-01-31 21:31:45.717666
25,JFK Airport,Not Reported Yet,Last Reported Time:,2021-01-31 21:31:45.717666
26,Kew Gardens,No Wait Time,Last Reported Time: 4:08 PM,2021-01-31 21:31:45.717666
27,Kings County Hospital ...,No Wait Time*,Last Reported Time: 3:17 PM,2021-01-31 21:31:45.717666
28,LaGuardia Airport,Not Reported Yet,Last Reported Time:,2021-01-31 21:31:45.717666
29,Lefferts,30-60 Minutes*,Last Reported Time: 2:28 PM,2021-01-31 21:31:45.717666
30,Lincoln Medical Center,No Wait Time*,Last Reported Time: 2:10 PM,2021-01-31 21:31:45.717666
31,Mariners Harbor Library,0-30 Minutes*,Last Reported Time: 2:15 PM,2021-01-31 21:31:45.717666
32,Metropolitan Hospital ...,Not Reported Yet,Last Reported Time:,2021-01-31 21:31:45.717666
33,Midwood,0-30 Minutes,Last Reported Time: 4:22 PM,2021-01-31 21:31:45.717666
34,Morrisania Diagnostic ...,Not Reported Yet,Last Reported Time:,2021-01-31 21:31:45.717666
35,Mt. Loretto,0-30 Minutes,Last Reported Time: 4:21 PM,2021-01-31 21:31:45.717666
36,North Central Bronx Ho...,Not Reported Yet,Last Reported Time:,2021-01-31 21:31:45.717666
37,Northern Boulevard,Not Reported Yet,Last Reported Time:,2021-01-31 21:31:45.717666
38,Old Broadway,No Wait Time*,Last Reported Time: 3:58 PM,2021-01-31 21:31:45.717666
39,Queens Hospital Center,1-1.5 Hours*,Last Reported Time: 2:33 PM,2021-01-31 21:31:45.717666
40,Rain Boston Road Senio...,Not Reported Yet,Last Reported Time:,2021-01-31 21:31:45.717666
41,Red Hook Recreational ...,0-30 Minutes*,Last Reported Time: 2:08 PM,2021-01-31 21:31:45.717666
42,Sorrentino Recreationa...,Not Reported Yet,Last Reported Time:,2021-01-31 21:31:45.717666
43,St. Albans,Not Reported Yet,Last Reported Time:,2021-01-31 21:31:45.717666
44,St. George Ferry Termi...,Not Reported Yet,Last Reported Time:,2021-01-31 21:31:45.717666
45,St. James Recreational...,Not Reported Yet,Last Reported Time:,2021-01-31 21:31:45.717666
46,Starret City,0-30 Minutes,Last Reported Time: 4:07 PM,2021-01-31 21:31:45.717666
47,SY Dyckman Lcdla,30-60 Minutes*,Last Reported Time: 12:13 PM,2021-01-31 21:31:45.717666
48,SY St. Nicholas Chc,Not Reported Yet,Last Reported Time:,2021-01-31 21:31:45.717666
49,Sydenham,0-30 Minutes*,Last Reported Time: 12:13 PM,2021-01-31 21:31:45.717666
50,Sydenham Health Center,Not Reported Yet,Last Reported Time:,2021-01-31 21:31:45.717666
51,Tremont Community Heal...,Not Reported Yet,Last Reported Time:,2021-01-31 21:31:45.717666
52,Windsor Park Library,Not Reported Yet,Last Reported Time:,2021-01-31 21:31:45.717666
53,Woodhull Medical Center,Not Reported Yet,Last Reported Time:,2021-01-31 21:31:45.717666
54,Last Reported Time:,,,2021-01-31 21:31:45.717666
55,Last Reported Time:,,,2021-01-31 21:31:45.717666
56,,,,2021-01-31 21:31:45.717666
57,,,,2021-01-31 21:31:45.717666
58,,,,2021-01-31 21:31:45.717666
59,if you require urgent virtual care.,,,2021-01-31 21:31:45.717666
60,Do you want to speak with a medical provider? Visit ExpressCare.nyc or call 631-397-2273,,,2021-01-31 21:31:45.717666
61,,,,2021-01-31 21:31:45.717666
62,,,,2021-01-31 21:31:45.717666
63,,,,2021-01-31 21:31:45.717666
