,Location,Wait,Last Updated,Scrape Timestamp
0,196 Albany,No Wait Time,Last Reported Time: 2:09 PM,2021-02-23 20:32:04.295422
1,4101 White Plains Road,Not Reported Yet,Last Reported Time:,2021-02-23 20:32:04.295422
2,57 Cleveland Place,No Wait Time,Last Reported Time: 2:53 PM,2021-02-23 20:32:04.295422
3,Bay Ridge 5th Avenue,No Wait Time,Last Reported Time: 2:10 PM,2021-02-23 20:32:04.295422
4,Beach 39th,Not Reported Yet,Last Reported Time:,2021-02-23 20:32:04.295422
5,Bellevue Hospital Cent...,0-30 Minutes,Last Reported Time: 2:00 PM,2021-02-23 20:32:04.295422
6,Belvis Diagnostic & Tr...,30-60 Minutes*,Last Reported Time: 1:46 PM,2021-02-23 20:32:04.295422
7,Bensonhurst 14th Avenue,Not Reported Yet,Last Reported Time:,2021-02-23 20:32:04.295422
8,Canarsie Municipal Lot,No Wait Time,Last Reported Time: 2:12 PM,2021-02-23 20:32:04.295422
9,CI Ida G Israel Chc,Not Reported Yet,Last Reported Time:,2021-02-23 20:32:04.295422
10,Co-op City Retail Space,No Wait Time,Last Reported Time: 3:01 PM,2021-02-23 20:32:04.295422
11,Coney Island Hospital ...,Not Reported Yet,Last Reported Time:,2021-02-23 20:32:04.295422
12,CU Homecrest,0-30 Minutes,Last Reported Time: 2:37 PM,2021-02-23 20:32:04.295422
13,CU Jonathan Williams C...,0-30 Minutes,Last Reported Time: 2:38 PM,2021-02-23 20:32:04.295422
14,CU Vanderbilt,Not Reported Yet,Last Reported Time:,2021-02-23 20:32:04.295422
15,CU Woodside Houses CHC,Not Reported Yet,Last Reported Time:,2021-02-23 20:32:04.295422
16,Cumberland Dtc,No Wait Time,Last Reported Time: 3:17 PM,2021-02-23 20:32:04.295422
17,Edward Grant,Not Reported Yet,Last Reported Time:,2021-02-23 20:32:04.295422
18,Elmhurst Hospital Cent...,Not Reported Yet,Last Reported Time:,2021-02-23 20:32:04.295422
19,EY East New York DTC,0-30 Minutes,Last Reported Time: 2:10 PM,2021-02-23 20:32:04.295422
20,Fort Hamilton,0-30 Minutes,Last Reported Time: 1:39 PM,2021-02-23 20:32:04.295422
21,Gouverneur Healthcare,Not Reported Yet,Last Reported Time:,2021-02-23 20:32:04.295422
22,Greenbelt Recreational...,0-30 Minutes,Last Reported Time: 2:10 PM,2021-02-23 20:32:04.295422
23,Harlem Hospital Center,0-30 Minutes,Last Reported Time: 2:29 PM,2021-02-23 20:32:04.295422
24,Highbridge Pool,30-60 Minutes,Last Reported Time: 2:12 PM,2021-02-23 20:32:04.295422
25,Jacobi Medical Center,Not Reported Yet,Last Reported Time:,2021-02-23 20:32:04.295422
26,JFK Airport,Not Reported Yet,Last Reported Time:,2021-02-23 20:32:04.295422
27,Kew Gardens,No Wait Time,Last Reported Time: 2:59 PM,2021-02-23 20:32:04.295422
28,Kings County Hospital ...,0-30 Minutes,Last Reported Time: 3:13 PM,2021-02-23 20:32:04.295422
29,LaGuardia Airport,Not Reported Yet,Last Reported Time:,2021-02-23 20:32:04.295422
30,Lefferts,0-30 Minutes,Last Reported Time: 2:14 PM,2021-02-23 20:32:04.295422
31,Lincoln Medical Center,No Wait Time,Last Reported Time: 2:36 PM,2021-02-23 20:32:04.295422
32,Mariners Harbor Library,No Wait Time,Last Reported Time: 2:10 PM,2021-02-23 20:32:04.295422
33,Metropolitan Hospital ...,Not Reported Yet,Last Reported Time:,2021-02-23 20:32:04.295422
34,Midwood,0-30 Minutes,Last Reported Time: 2:18 PM,2021-02-23 20:32:04.295422
35,Morrisania Diagnostic ...,0-30 Minutes*,Last Reported Time: 9:56 AM,2021-02-23 20:32:04.295422
36,Mt. Loretto,Not Reported Yet,Last Reported Time:,2021-02-23 20:32:04.295422
37,North Central Bronx Ho...,Not Reported Yet,Last Reported Time:,2021-02-23 20:32:04.295422
38,Northern Boulevard,Not Reported Yet,Last Reported Time:,2021-02-23 20:32:04.295422
39,Old Broadway,No Wait Time*,Last Reported Time: 12:30 PM,2021-02-23 20:32:04.295422
40,Queens Hospital Center,Not Reported Yet,Last Reported Time:,2021-02-23 20:32:04.295422
41,Rain Boston Road Senio...,Not Reported Yet,Last Reported Time:,2021-02-23 20:32:04.295422
42,Red Hook Recreational ...,0-30 Minutes,Last Reported Time: 2:36 PM,2021-02-23 20:32:04.295422
43,Sorrentino Recreationa...,Not Reported Yet,Last Reported Time:,2021-02-23 20:32:04.295422
44,St. Albans,Not Reported Yet,Last Reported Time:,2021-02-23 20:32:04.295422
45,St. George Ferry Termi...,No Wait Time,Last Reported Time: 2:10 PM,2021-02-23 20:32:04.295422
46,St. James Recreational...,Not Reported Yet,Last Reported Time:,2021-02-23 20:32:04.295422
47,Starret City,No Wait Time*,Last Reported Time: 12:01 PM,2021-02-23 20:32:04.295422
48,SY Dyckman Lcdla,0-30 Minutes,Last Reported Time: 2:09 PM,2021-02-23 20:32:04.295422
49,SY St. Nicholas Chc,Not Reported Yet,Last Reported Time:,2021-02-23 20:32:04.295422
50,Sydenham,0-30 Minutes,Last Reported Time: 2:07 PM,2021-02-23 20:32:04.295422
51,Sydenham Health Center,Not Reported Yet,Last Reported Time:,2021-02-23 20:32:04.295422
52,Tremont Community Heal...,Not Reported Yet,Last Reported Time:,2021-02-23 20:32:04.295422
53,Windsor Park Library,0-30 Minutes*,Last Reported Time: 1:35 PM,2021-02-23 20:32:04.295422
54,Woodhull Medical Center,Not Reported Yet,Last Reported Time:,2021-02-23 20:32:04.295422
55,Last Reported Time:,,,2021-02-23 20:32:04.295422
56,,,,2021-02-23 20:32:04.295422
57,,,,2021-02-23 20:32:04.295422
58,,,,2021-02-23 20:32:04.295422
59,if you require urgent virtual care.,,,2021-02-23 20:32:04.295422
