,Location,Wait,Last Updated,Scrape Timestamp
0,196 Albany,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
1,4101 White Plains Road,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
2,57 Cleveland Place,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
3,Bathgate Contract Post...,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
4,Bay Ridge 5th Avenue,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
5,Beach 39th,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
6,Bellevue Hospital Cent...,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
7,Belvis Diagnostic & Tr...,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
8,Bensonhurst 14th Avenue,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
9,Brooklyn Army Terminal,0-30 Minutes,Last Reported Time: 8:03 AM,2020-12-29 13:43:32.213842
10,Canarsie Municipal Lot,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
11,CI Ida G Israel Chc,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
12,Co-op City Retail Space,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
13,Coney Island Hospital ...,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
14,CU Jonathan Williams C...,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
15,CU Vanderbilt,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
16,CU Woodside Houses CHC,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
17,Cumberland Dtc,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
18,Edward Grant,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
19,Elmhurst Hospital Cent...,1-1.5 Hours,Last Reported Time: 8:00 AM,2020-12-29 13:43:32.213842
20,EY East New York DTC,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
21,Fort Hamilton,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
22,Gouverneur Healthcare,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
23,Greenbelt Recreational...,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
24,Harlem Hospital Center,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
25,Highbridge Pool,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
26,Jacobi Medical Center,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
27,JFK Airport,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
28,Kew Gardens,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
29,Kings County Hospital ...,No Wait Time,Last Reported Time: 8:28 AM,2020-12-29 13:43:32.213842
30,LaGuardia Airport,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
31,Lefferts,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
32,Lincoln Medical Center,0-30 Minutes,Last Reported Time: 8:11 AM,2020-12-29 13:43:32.213842
33,Mariners Harbor Library,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
34,Metropolitan Hospital ...,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
35,Midwood,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
36,Morrisania Diagnostic ...,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
37,Mt. Loretto,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
38,North Central Bronx Ho...,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
39,Northern Boulevard,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
40,Old Broadway,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
41,Queens Hospital Center,0-30 Minutes,Last Reported Time: 8:05 AM,2020-12-29 13:43:32.213842
42,Rain Boston Road Senio...,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
43,Red Hook Recreational ...,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
44,Sorrentino Recreationa...,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
45,St. Albans,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
46,St. George Ferry Termi...,30-60 Minutes,Last Reported Time: 8:10 AM,2020-12-29 13:43:32.213842
47,St. James Recreational...,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
48,Starret City,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
49,SY Dyckman Lcdla,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
50,SY St. Nicholas Chc,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
51,Sydenham,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
52,Sydenham Health Center,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
53,Tremont Community Heal...,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
54,Windsor Park Library,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
55,Woodhull Medical Center,Not Reported Yet,Last Reported Time:,2020-12-29 13:43:32.213842
