,Location,Wait,Last Updated,Scrape Timestamp
0,196 Albany,No Wait Time*,Last Reported Time: 3:23 PM,2021-01-25 21:00:39.139766
1,4101 White Plains Road,Not Reported Yet,Last Reported Time:,2021-01-25 21:00:39.139766
2,57 Cleveland Place,0-30 Minutes*,Last Reported Time: 2:04 PM,2021-01-25 21:00:39.139766
3,Bay Ridge 5th Avenue,0-30 Minutes*,Last Reported Time: 12:43 PM,2021-01-25 21:00:39.139766
4,Beach 39th,0-30 Minutes*,Last Reported Time: 3:09 PM,2021-01-25 21:00:39.139766
5,Bellevue Hospital Cent...,0-30 Minutes*,Last Reported Time: 2:10 PM,2021-01-25 21:00:39.139766
6,Belvis Diagnostic & Tr...,1-1.5 Hours*,Last Reported Time: 1:40 PM,2021-01-25 21:00:39.139766
7,Bensonhurst 14th Avenue,30-60 Minutes*,Last Reported Time: 11:44 AM,2021-01-25 21:00:39.139766
8,Canarsie Municipal Lot,No Wait Time*,Last Reported Time: 3:15 PM,2021-01-25 21:00:39.139766
9,CI Ida G Israel Chc,Not Reported Yet,Last Reported Time:,2021-01-25 21:00:39.139766
10,Co-op City Retail Space,30-60 Minutes*,Last Reported Time: 2:22 PM,2021-01-25 21:00:39.139766
11,Coney Island Hospital ...,Not Reported Yet,Last Reported Time:,2021-01-25 21:00:39.139766
12,CU Jonathan Williams C...,0-30 Minutes*,Last Reported Time: 2:45 PM,2021-01-25 21:00:39.139766
13,CU Vanderbilt,Not Reported Yet,Last Reported Time:,2021-01-25 21:00:39.139766
14,CU Woodside Houses CHC,Not Reported Yet,Last Reported Time:,2021-01-25 21:00:39.139766
15,Cumberland Dtc,0-30 Minutes*,Last Reported Time: 3:03 PM,2021-01-25 21:00:39.139766
16,Edward Grant,Not Reported Yet,Last Reported Time:,2021-01-25 21:00:39.139766
17,Elmhurst Hospital Cent...,Not Reported Yet,Last Reported Time:,2021-01-25 21:00:39.139766
18,EY East New York DTC,30-60 Minutes*,Last Reported Time: 2:05 PM,2021-01-25 21:00:39.139766
19,Fort Hamilton,0-30 Minutes*,Last Reported Time: 1:23 PM,2021-01-25 21:00:39.139766
20,Gouverneur Healthcare,1-1.5 Hours*,Last Reported Time: 9:47 AM,2021-01-25 21:00:39.139766
21,Greenbelt Recreational...,30-60 Minutes*,Last Reported Time: 2:10 PM,2021-01-25 21:00:39.139766
22,Harlem Hospital Center,1-1.5 Hours*,Last Reported Time: 2:10 PM,2021-01-25 21:00:39.139766
23,Highbridge Pool,0-30 Minutes*,Last Reported Time: 2:14 PM,2021-01-25 21:00:39.139766
24,Jacobi Medical Center,Not Reported Yet,Last Reported Time:,2021-01-25 21:00:39.139766
25,JFK Airport,0-30 Minutes*,Last Reported Time: 2:00 PM,2021-01-25 21:00:39.139766
26,Kew Gardens,No Wait Time*,Last Reported Time: 3:33 PM,2021-01-25 21:00:39.139766
27,Kings County Hospital ...,0-30 Minutes*,Last Reported Time: 2:07 PM,2021-01-25 21:00:39.139766
28,LaGuardia Airport,Not Reported Yet,Last Reported Time:,2021-01-25 21:00:39.139766
29,Lefferts,0-30 Minutes*,Last Reported Time: 2:02 PM,2021-01-25 21:00:39.139766
30,Lincoln Medical Center,1-1.5 Hours*,Last Reported Time: 12:18 PM,2021-01-25 21:00:39.139766
31,Mariners Harbor Library,0-30 Minutes*,Last Reported Time: 2:36 PM,2021-01-25 21:00:39.139766
32,Metropolitan Hospital ...,Not Reported Yet,Last Reported Time:,2021-01-25 21:00:39.139766
33,Midwood,1-1.5 Hours*,Last Reported Time: 2:11 PM,2021-01-25 21:00:39.139766
34,Morrisania Diagnostic ...,Not Reported Yet,Last Reported Time:,2021-01-25 21:00:39.139766
35,Mt. Loretto,30-60 Minutes*,Last Reported Time: 3:43 PM,2021-01-25 21:00:39.139766
36,North Central Bronx Ho...,Not Reported Yet,Last Reported Time:,2021-01-25 21:00:39.139766
37,Northern Boulevard,Not Reported Yet,Last Reported Time:,2021-01-25 21:00:39.139766
38,Old Broadway,0-30 Minutes*,Last Reported Time: 3:01 PM,2021-01-25 21:00:39.139766
