,Location,Wait,Last Updated,Scrape Timestamp
0,196 Albany,Not Reported Yet,Last Reported Time:,2021-02-07 14:28:14.273802
1,4101 White Plains Road,Not Reported Yet,Last Reported Time:,2021-02-07 14:28:14.273802
2,57 Cleveland Place,Not Reported Yet,Last Reported Time:,2021-02-07 14:28:14.273802
3,Bay Ridge 5th Avenue,0-30 Minutes,Last Reported Time: 9:17 AM,2021-02-07 14:28:14.273802
4,Beach 39th,0-30 Minutes,Last Reported Time: 9:12 AM,2021-02-07 14:28:14.273802
5,Bellevue Hospital Cent...,Not Reported Yet,Last Reported Time:,2021-02-07 14:28:14.273802
6,Belvis Diagnostic & Tr...,0-30 Minutes,Last Reported Time: 9:21 AM,2021-02-07 14:28:14.273802
7,Bensonhurst 14th Avenue,0-30 Minutes,Last Reported Time: 9:21 AM,2021-02-07 14:28:14.273802
8,Canarsie Municipal Lot,Not Reported Yet,Last Reported Time:,2021-02-07 14:28:14.273802
9,CI Ida G Israel Chc,Not Reported Yet,Last Reported Time:,2021-02-07 14:28:14.273802
10,Co-op City Retail Space,Not Reported Yet,Last Reported Time:,2021-02-07 14:28:14.273802
11,Coney Island Hospital ...,Not Reported Yet,Last Reported Time:,2021-02-07 14:28:14.273802
12,CU Jonathan Williams C...,Not Reported Yet,Last Reported Time:,2021-02-07 14:28:14.273802
13,CU Vanderbilt,0-30 Minutes,Last Reported Time: 8:23 AM,2021-02-07 14:28:14.273802
14,CU Woodside Houses CHC,Not Reported Yet,Last Reported Time:,2021-02-07 14:28:14.273802
15,Cumberland Dtc,Not Reported Yet,Last Reported Time:,2021-02-07 14:28:14.273802
16,Edward Grant,Not Reported Yet,Last Reported Time:,2021-02-07 14:28:14.273802
17,Elmhurst Hospital Cent...,Not Reported Yet,Last Reported Time:,2021-02-07 14:28:14.273802
18,EY East New York DTC,No Wait Time,Last Reported Time: 8:39 AM,2021-02-07 14:28:14.273802
19,Fort Hamilton,Not Reported Yet,Last Reported Time:,2021-02-07 14:28:14.273802
20,Gouverneur Healthcare,Not Reported Yet,Last Reported Time:,2021-02-07 14:28:14.273802
21,Greenbelt Recreational...,Not Reported Yet,Last Reported Time:,2021-02-07 14:28:14.273802
22,Harlem Hospital Center,Not Reported Yet,Last Reported Time:,2021-02-07 14:28:14.273802
23,Highbridge Pool,Not Reported Yet,Last Reported Time:,2021-02-07 14:28:14.273802
24,Jacobi Medical Center,Not Reported Yet,Last Reported Time:,2021-02-07 14:28:14.273802
25,JFK Airport,Not Reported Yet,Last Reported Time:,2021-02-07 14:28:14.273802
26,Kew Gardens,Not Reported Yet,Last Reported Time:,2021-02-07 14:28:14.273802
27,Kings County Hospital ...,Not Reported Yet,Last Reported Time:,2021-02-07 14:28:14.273802
28,LaGuardia Airport,Not Reported Yet,Last Reported Time:,2021-02-07 14:28:14.273802
29,Lefferts,Not Reported Yet,Last Reported Time:,2021-02-07 14:28:14.273802
30,Lincoln Medical Center,No Wait Time,Last Reported Time: 8:30 AM,2021-02-07 14:28:14.273802
31,Mariners Harbor Library,Not Reported Yet,Last Reported Time:,2021-02-07 14:28:14.273802
32,Metropolitan Hospital ...,Not Reported Yet,Last Reported Time:,2021-02-07 14:28:14.273802
33,Midwood,Not Reported Yet,Last Reported Time:,2021-02-07 14:28:14.273802
34,Morrisania Diagnostic ...,Not Reported Yet,Last Reported Time:,2021-02-07 14:28:14.273802
35,Mt. Loretto,Not Reported Yet,Last Reported Time:,2021-02-07 14:28:14.273802
36,North Central Bronx Ho...,Not Reported Yet,Last Reported Time:,2021-02-07 14:28:14.273802
37,Northern Boulevard,Not Reported Yet,Last Reported Time:,2021-02-07 14:28:14.273802
38,Old Broadway,Not Reported Yet,Last Reported Time:,2021-02-07 14:28:14.273802
39,Queens Hospital Center,Not Reported Yet,Last Reported Time:,2021-02-07 14:28:14.273802
40,Rain Boston Road Senio...,Not Reported Yet,Last Reported Time:,2021-02-07 14:28:14.273802
41,Red Hook Recreational ...,Not Reported Yet,Last Reported Time:,2021-02-07 14:28:14.273802
42,Sorrentino Recreationa...,Not Reported Yet,Last Reported Time:,2021-02-07 14:28:14.273802
43,St. Albans,Not Reported Yet,Last Reported Time:,2021-02-07 14:28:14.273802
44,St. George Ferry Termi...,Not Reported Yet,Last Reported Time:,2021-02-07 14:28:14.273802
45,St. James Recreational...,Not Reported Yet,Last Reported Time:,2021-02-07 14:28:14.273802
