,Location,Wait,Last Updated,Scrape Timestamp
0,196 Albany,No Wait Time,Last Reported Time: 4:12 PM,2020-12-15 23:54:23.032941
1,4101 White Plains Road,No Wait Time,Last Reported Time: 4:42 PM,2020-12-15 23:54:23.032941
2,57 Cleveland Place,No Wait Time,Last Reported Time: 4:24 PM,2020-12-15 23:54:23.032941
3,Bathgate Contract Post...,No Wait Time,Last Reported Time: 4:10 PM,2020-12-15 23:54:23.032941
4,Bay Ridge 5th Avenue,No Wait Time*,Last Reported Time: 2:35 PM,2020-12-15 23:54:23.032941
5,Beach 39th,30-60 Minutes,Last Reported Time: 3:45 PM,2020-12-15 23:54:23.032941
6,Bellevue Hospital Cent...,1-1.5 Hours*,Last Reported Time: 2:07 PM,2020-12-15 23:54:23.032941
7,Belvis Diagnostic & Tr...,1-1.5 Hours*,Last Reported Time: 1:53 PM,2020-12-15 23:54:23.032941
8,Bensonhurst 14th Avenue,1-1.5 Hours,Last Reported Time: 5:00 PM,2020-12-15 23:54:23.032941
9,Brooklyn Army Terminal,0-30 Minutes*,Last Reported Time: 2:24 PM,2020-12-15 23:54:23.032941
10,Canarsie Municipal Lot,0-30 Minutes,Last Reported Time: 5:04 PM,2020-12-15 23:54:23.032941
11,CI Ida G Israel Chc,Not Reported Yet,Last Reported Time:,2020-12-15 23:54:23.032941
12,Co-op City Retail Space,0-30 Minutes,Last Reported Time: 4:40 PM,2020-12-15 23:54:23.032941
13,Coney Island Hospital ...,30-60 Minutes*,Last Reported Time: 2:32 PM,2020-12-15 23:54:23.032941
14,CU Jonathan Williams C...,1-1.5 Hours*,Last Reported Time: 3:19 PM,2020-12-15 23:54:23.032941
15,CU Vanderbilt,Not Reported Yet,Last Reported Time:,2020-12-15 23:54:23.032941
16,CU Woodside Houses CHC,Not Reported Yet,Last Reported Time:,2020-12-15 23:54:23.032941
17,Cumberland Dtc,No Wait Time*,Last Reported Time: 2:50 PM,2020-12-15 23:54:23.032941
18,Edward Grant,30-60 Minutes*,Last Reported Time: 10:34 AM,2020-12-15 23:54:23.032941
19,Elmhurst Hospital Cent...,30-60 Minutes,Last Reported Time: 4:33 PM,2020-12-15 23:54:23.032941
20,EY East New York DTC,30-60 Minutes*,Last Reported Time: 2:42 PM,2020-12-15 23:54:23.032941
21,Fort Hamilton,1.5-2 Hours,Last Reported Time: 4:04 PM,2020-12-15 23:54:23.032941
22,Gouverneur Healthcare,1-1.5 Hours*,Last Reported Time: 1:51 PM,2020-12-15 23:54:23.032941
23,Greenbelt Recreational...,Not Reported Yet,Last Reported Time:,2020-12-15 23:54:23.032941
24,Harlem Hospital Center,1-1.5 Hours*,Last Reported Time: 2:01 PM,2020-12-15 23:54:23.032941
25,Highbridge Pool,Not Reported Yet,Last Reported Time:,2020-12-15 23:54:23.032941
26,Jacobi Medical Center,1-1.5 Hours*,Last Reported Time: 2:05 PM,2020-12-15 23:54:23.032941
27,JFK Airport,No Wait Time,Last Reported Time: 5:54 PM,2020-12-15 23:54:23.032941
28,Kew Gardens,0-30 Minutes,Last Reported Time: 5:58 PM,2020-12-15 23:54:23.032941
29,Kings County Hospital ...,30-60 Minutes,Last Reported Time: 4:01 PM,2020-12-15 23:54:23.032941
30,LaGuardia Airport,0-30 Minutes,Last Reported Time: 4:05 PM,2020-12-15 23:54:23.032941
31,Lefferts,30-60 Minutes,Last Reported Time: 4:32 PM,2020-12-15 23:54:23.032941
32,Lincoln Medical Center,30-60 Minutes,Last Reported Time: 4:15 PM,2020-12-15 23:54:23.032941
33,Mariners Harbor Library,No Wait Time*,Last Reported Time: 3:40 PM,2020-12-15 23:54:23.032941
34,Metropolitan Hospital ...,0-30 Minutes*,Last Reported Time: 1:35 PM,2020-12-15 23:54:23.032941
35,Midwood,1.5-2 Hours,Last Reported Time: 4:32 PM,2020-12-15 23:54:23.032941
36,Morrisania Diagnostic ...,1-1.5 Hours,Last Reported Time: 4:59 PM,2020-12-15 23:54:23.032941
37,Mt. Loretto,30-60 Minutes*,Last Reported Time: 3:37 PM,2020-12-15 23:54:23.032941
38,North Central Bronx Ho...,1-1.5 Hours,Last Reported Time: 4:02 PM,2020-12-15 23:54:23.032941
39,Northern Boulevard,Not Reported Yet,Last Reported Time:,2020-12-15 23:54:23.032941
40,Old Broadway,No Wait Time*,Last Reported Time: 12:12 PM,2020-12-15 23:54:23.032941
41,Queens Hospital Center,1.5-2 Hours,Last Reported Time: 5:06 PM,2020-12-15 23:54:23.032941
42,Rain Boston Road Senio...,0-30 Minutes,Last Reported Time: 4:59 PM,2020-12-15 23:54:23.032941
43,Red Hook Recreational ...,30-60 Minutes*,Last Reported Time: 11:28 AM,2020-12-15 23:54:23.032941
44,Sorrentino Recreationa...,Not Reported Yet,Last Reported Time:,2020-12-15 23:54:23.032941
45,St. Albans,0-30 Minutes*,Last Reported Time: 8:56 AM,2020-12-15 23:54:23.032941
46,St. George Ferry Termi...,Not Reported Yet,Last Reported Time:,2020-12-15 23:54:23.032941
47,St. James Recreational...,1-1.5 Hours*,Last Reported Time: 3:25 PM,2020-12-15 23:54:23.032941
48,Starret City,No Wait Time,Last Reported Time: 5:44 PM,2020-12-15 23:54:23.032941
49,SY Dyckman Lcdla,Not Reported Yet,Last Reported Time:,2020-12-15 23:54:23.032941
50,SY St. Nicholas Chc,Not Reported Yet,Last Reported Time:,2020-12-15 23:54:23.032941
