,Location,Wait
0,Not Reported Yet,Last Reported Time:
1,Not Reported Yet,Last Reported Time:
2,Not Reported Yet,Last Reported Time:
3,0-30 Minutes,Last Reported Time: 12:04 PM
4,Harlem Hospital Center,No Wait Time
5,Highbridge Pool,30-60 Minutes*
6,Jacobi Medical Center,0-30 Minutes
7,JFK Airport,0-30 Minutes
8,Last Reported Time: 12:08 PM,
9,Last Reported Time: 10:20 AM,
10,Last Reported Time: 1:34 PM,
11,Last Reported Time: 12:34 PM,
12,Lincoln Medical Center,0-30 Minutes
13,Mariners Harbor Library,0-30 Minutes
14,Metropolitan Hospital ...,30-60 Minutes*
15,Midwood,30-60 Minutes
16,Last Reported Time: 12:15 PM,
17,Last Reported Time: 1:23 PM,
18,Last Reported Time: 11:31 AM,
19,Last Reported Time: 1:25 PM,
20,Old Broadway,No Wait Time
21,Queens Hospital Center,0-30 Minutes
22,Rain Boston Road Senio...,No Wait Time*
23,Red Hook Recreational ...,Not Reported Yet
24,Last Reported Time: 12:35 PM,
25,Last Reported Time: 12:02 PM,
26,Last Reported Time: 11:37 AM,
27,Last Reported Time:,
28,Starret City,
29,SY Dyckman Lcdla,
30,SY St. Nicholas Chc,
31,Sydenham,
