,Location,Wait,Last Updated,Scrape Timestamp
0,196 Albany,No Wait Time,Last Reported Time: 2:02 PM,2021-02-26 19:47:56.223733
1,4101 White Plains Road,0-30 Minutes,Last Reported Time: 2:39 PM,2021-02-26 19:47:56.223733
2,57 Cleveland Place,No Wait Time*,Last Reported Time: 1:39 PM,2021-02-26 19:47:56.223733
3,Bay Ridge 5th Avenue,No Wait Time,Last Reported Time: 2:06 PM,2021-02-26 19:47:56.223733
4,Beach 39th,Not Reported Yet,Last Reported Time:,2021-02-26 19:47:56.223733
5,Bellevue Hospital Cent...,0-30 Minutes,Last Reported Time: 2:05 PM,2021-02-26 19:47:56.223733
6,Belvis Diagnostic & Tr...,No Wait Time*,Last Reported Time: 1:54 PM,2021-02-26 19:47:56.223733
7,Bensonhurst 14th Avenue,No Wait Time,Last Reported Time: 2:02 PM,2021-02-26 19:47:56.223733
8,Canarsie Municipal Lot,No Wait Time*,Last Reported Time: 1:09 PM,2021-02-26 19:47:56.223733
9,CI Ida G Israel Chc,Not Reported Yet,Last Reported Time:,2021-02-26 19:47:56.223733
10,Co-op City Retail Space,0-30 Minutes*,Last Reported Time: 9:39 AM,2021-02-26 19:47:56.223733
11,Coney Island Hospital ...,Not Reported Yet,Last Reported Time:,2021-02-26 19:47:56.223733
12,CU Homecrest,0-30 Minutes,Last Reported Time: 2:43 PM,2021-02-26 19:47:56.223733
13,CU Jonathan Williams C...,0-30 Minutes,Last Reported Time: 2:43 PM,2021-02-26 19:47:56.223733
14,CU Vanderbilt,Not Reported Yet,Last Reported Time:,2021-02-26 19:47:56.223733
15,CU Woodside Houses CHC,Not Reported Yet,Last Reported Time:,2021-02-26 19:47:56.223733
16,Cumberland Dtc,No Wait Time*,Last Reported Time: 10:52 AM,2021-02-26 19:47:56.223733
17,Edward Grant,Not Reported Yet,Last Reported Time:,2021-02-26 19:47:56.223733
18,Elmhurst Hospital Cent...,Not Reported Yet,Last Reported Time:,2021-02-26 19:47:56.223733
19,EY East New York DTC,30-60 Minutes,Last Reported Time: 2:38 PM,2021-02-26 19:47:56.223733
20,Fort Hamilton,0-30 Minutes,Last Reported Time: 2:12 PM,2021-02-26 19:47:56.223733
21,Gouverneur Healthcare,0-30 Minutes*,Last Reported Time: 12:03 PM,2021-02-26 19:47:56.223733
22,Greenbelt Recreational...,Not Reported Yet,Last Reported Time:,2021-02-26 19:47:56.223733
23,Harlem Hospital Center,0-30 Minutes,Last Reported Time: 2:42 PM,2021-02-26 19:47:56.223733
24,Highbridge Pool,0-30 Minutes,Last Reported Time: 2:06 PM,2021-02-26 19:47:56.223733
25,Jacobi Medical Center,Not Reported Yet,Last Reported Time:,2021-02-26 19:47:56.223733
