,Location,Wait,Last Updated,Scrape Timestamp
0,196 Albany,No Wait Time,Last Reported Time: 4:28 PM,2021-01-05 22:49:15.283236
1,4101 White Plains Road,No Wait Time*,Last Reported Time: 1:46 PM,2021-01-05 22:49:15.283236
2,57 Cleveland Place,0-30 Minutes,Last Reported Time: 4:21 PM,2021-01-05 22:49:15.283236
3,Bathgate Contract Post...,No Wait Time*,Last Reported Time: 12:02 PM,2021-01-05 22:49:15.283236
4,Bay Ridge 5th Avenue,0-30 Minutes,Last Reported Time: 4:50 PM,2021-01-05 22:49:15.283236
5,Beach 39th,1-1.5 Hours*,Last Reported Time: 3:03 PM,2021-01-05 22:49:15.283236
6,Bellevue Hospital Cent...,30-60 Minutes*,Last Reported Time: 2:02 PM,2021-01-05 22:49:15.283236
7,Belvis Diagnostic & Tr...,More Than 2 Hours*,Last Reported Time: 11:54 AM,2021-01-05 22:49:15.283236
8,Bensonhurst 14th Avenue,Not Reported Yet,Last Reported Time:,2021-01-05 22:49:15.283236
9,Brooklyn Army Terminal,30-60 Minutes,Last Reported Time: 4:41 PM,2021-01-05 22:49:15.283236
10,Canarsie Municipal Lot,Not Reported Yet,Last Reported Time:,2021-01-05 22:49:15.283236
11,CI Ida G Israel Chc,Not Reported Yet,Last Reported Time:,2021-01-05 22:49:15.283236
12,Co-op City Retail Space,1-1.5 Hours*,Last Reported Time: 2:56 PM,2021-01-05 22:49:15.283236
13,Coney Island Hospital ...,0-30 Minutes*,Last Reported Time: 12:40 PM,2021-01-05 22:49:15.283236
14,CU Jonathan Williams C...,30-60 Minutes*,Last Reported Time: 3:46 PM,2021-01-05 22:49:15.283236
15,CU Vanderbilt,Not Reported Yet,Last Reported Time:,2021-01-05 22:49:15.283236
16,CU Woodside Houses CHC,Not Reported Yet,Last Reported Time:,2021-01-05 22:49:15.283236
17,Cumberland Dtc,0-30 Minutes*,Last Reported Time: 2:17 PM,2021-01-05 22:49:15.283236
18,Edward Grant,1-1.5 Hours*,Last Reported Time: 10:29 AM,2021-01-05 22:49:15.283236
19,Elmhurst Hospital Cent...,1.5-2 Hours*,Last Reported Time: 1:37 PM,2021-01-05 22:49:15.283236
20,EY East New York DTC,0-30 Minutes,Last Reported Time: 4:25 PM,2021-01-05 22:49:15.283236
21,Fort Hamilton,1-1.5 Hours,Last Reported Time: 4:24 PM,2021-01-05 22:49:15.283236
22,Gouverneur Healthcare,More Than 2 Hours*,Last Reported Time: 11:24 AM,2021-01-05 22:49:15.283236
23,Greenbelt Recreational...,1.5-2 Hours,Last Reported Time: 4:19 PM,2021-01-05 22:49:15.283236
24,Harlem Hospital Center,1-1.5 Hours*,Last Reported Time: 2:25 PM,2021-01-05 22:49:15.283236
25,Highbridge Pool,1.5-2 Hours,Last Reported Time: 4:13 PM,2021-01-05 22:49:15.283236
26,Jacobi Medical Center,Not Reported Yet,Last Reported Time:,2021-01-05 22:49:15.283236
27,JFK Airport,Not Reported Yet,Last Reported Time:,2021-01-05 22:49:15.283236
28,Kew Gardens,0-30 Minutes,Last Reported Time: 4:23 PM,2021-01-05 22:49:15.283236
29,Kings County Hospital ...,0-30 Minutes,Last Reported Time: 4:28 PM,2021-01-05 22:49:15.283236
