,Location,Wait,Time Window,Scrape Timestamp
0,196 Albany,No Wait Time,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
1,Last Reported at: 8:21AM,Bensonhurst 14th Avenue,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
2,Not Reported Yet,CU Woodside Houses CHC,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
3,Not Reported Yet,Harlem Hospital Center,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
4,No Wait Time,Last Reported at: 8:05AM,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
5,Lincoln Medical Center,0-30 Minutes,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
6,Last Reported at: 8:09AM,4101 White Plains Road,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
7,No Wait Time,Last Reported at: 8:03AM,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
8,Brooklyn Army Terminal,Not Reported Yet,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
9,Cumberland Dtc,Not Reported Yet,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
10,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
11,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
12,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
13,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
14,,Canarsie Municipal Lot,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
15,Not Reported Yet,Edward Grant,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
16,Not Reported Yet,Jacobi Medical Center,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
17,30-60 Minutes,Last Reported at: 8:16AM,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
18,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
19,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
20,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
21,CI Ida G Israel Chc,Not Reported Yet,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
22,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
23,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
24,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
25,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
26,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
27,,Co-op City Retail Space,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
28,Not Reported Yet,EY East New York DTC,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
29,Not Reported Yet,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
30,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
31,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
32,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
33,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
34,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
35,Fort Hamilton,Not Reported Yet,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
36,Kings County Hospital ...,0-30 Minutes,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
37,Last Reported at: 8:12AM,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
38,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
39,Bellevue Hospital Center,1.5-2 Hours,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
40,Last Reported at: 8:31AM,CU Jonathan Williams C...,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
41,Not Reported Yet,Gouverneur Healthcare,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
42,Not Reported Yet,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
43,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
44,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
45,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
46,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
47,CU Vanderbilt,Not Reported Yet,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
48,Greenbelt Recreational...,Not Reported Yet,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
49,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
50,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
51,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:47:45.476646
