,Location,Wait,Last Updated,Scrape Timestamp
0,196 Albany,Not Reported Yet,Last Reported Time:,2021-03-07 23:54:50.227286
1,4101 White Plains Road,Not Reported Yet,Last Reported Time:,2021-03-07 23:54:50.227286
2,57 Cleveland Place,No Wait Time,Last Reported Time: 4:04 PM,2021-03-07 23:54:50.227286
3,Bay Ridge 5th Avenue,0-30 Minutes,Last Reported Time: 4:32 PM,2021-03-07 23:54:50.227286
4,Beach 39th,Not Reported Yet,Last Reported Time:,2021-03-07 23:54:50.227286
5,Bellevue Hospital Cent...,Not Reported Yet,Last Reported Time:,2021-03-07 23:54:50.227286
6,Belvis Diagnostic & Tr...,0-30 Minutes*,Last Reported Time: 10:02 AM,2021-03-07 23:54:50.227286
7,Bensonhurst 14th Avenue,No Wait Time*,Last Reported Time: 11:33 AM,2021-03-07 23:54:50.227286
8,Canarsie Municipal Lot,No Wait Time,Last Reported Time: 4:55 PM,2021-03-07 23:54:50.227286
9,CI Ida G Israel Chc,Not Reported Yet,Last Reported Time:,2021-03-07 23:54:50.227286
10,Co-op City Retail Space,No Wait Time,Last Reported Time: 5:46 PM,2021-03-07 23:54:50.227286
11,Coney Island Hospital ...,Not Reported Yet,Last Reported Time:,2021-03-07 23:54:50.227286
12,CU Homecrest,0-30 Minutes*,Last Reported Time: 12:52 PM,2021-03-07 23:54:50.227286
13,CU Jonathan Williams C...,0-30 Minutes*,Last Reported Time: 12:53 PM,2021-03-07 23:54:50.227286
14,CU Vanderbilt,Not Reported Yet,Last Reported Time:,2021-03-07 23:54:50.227286
15,CU Woodside Houses CHC,Not Reported Yet,Last Reported Time:,2021-03-07 23:54:50.227286
16,Cumberland Dtc,Not Reported Yet,Last Reported Time:,2021-03-07 23:54:50.227286
17,Edward Grant,Not Reported Yet,Last Reported Time:,2021-03-07 23:54:50.227286
18,Elmhurst Hospital Cent...,Not Reported Yet,Last Reported Time:,2021-03-07 23:54:50.227286
19,EY East New York DTC,No Wait Time*,Last Reported Time: 10:14 AM,2021-03-07 23:54:50.227286
20,Fort Hamilton,No Wait Time,Last Reported Time: 5:05 PM,2021-03-07 23:54:50.227286
21,Gouverneur Healthcare,0-30 Minutes*,Last Reported Time: 12:03 PM,2021-03-07 23:54:50.227286
22,Greenbelt Recreational...,No Wait Time,Last Reported Time: 4:51 PM,2021-03-07 23:54:50.227286
