,Location,Wait,Last Updated,Scrape Timestamp
0,196 Albany,No Wait Time*,Last Reported Time: 2:33 PM,2020-12-23 21:38:18.519970
1,4101 White Plains Road,0-30 Minutes,Last Reported Time: 4:05 PM,2020-12-23 21:38:18.519970
2,57 Cleveland Place,0-30 Minutes,Last Reported Time: 4:15 PM,2020-12-23 21:38:18.519970
3,Bathgate Contract Post...,Not Reported Yet,Last Reported Time:,2020-12-23 21:38:18.519970
4,Bay Ridge 5th Avenue,1.5-2 Hours,Last Reported Time: 4:02 PM,2020-12-23 21:38:18.519970
5,Beach 39th,1.5-2 Hours*,Last Reported Time: 1:28 PM,2020-12-23 21:38:18.519970
6,Bellevue Hospital Cent...,30-60 Minutes*,Last Reported Time: 2:02 PM,2020-12-23 21:38:18.519970
7,Belvis Diagnostic & Tr...,1-1.5 Hours*,Last Reported Time: 2:05 PM,2020-12-23 21:38:18.519970
8,Bensonhurst 14th Avenue,1-1.5 Hours*,Last Reported Time: 2:08 PM,2020-12-23 21:38:18.519970
9,Brooklyn Army Terminal,Not Reported Yet,Last Reported Time:,2020-12-23 21:38:18.519970
10,Canarsie Municipal Lot,No Wait Time,Last Reported Time: 4:04 PM,2020-12-23 21:38:18.519970
11,CI Ida G Israel Chc,Not Reported Yet,Last Reported Time:,2020-12-23 21:38:18.519970
12,Co-op City Retail Space,30-60 Minutes*,Last Reported Time: 3:32 PM,2020-12-23 21:38:18.519970
13,Coney Island Hospital ...,30-60 Minutes*,Last Reported Time: 10:20 AM,2020-12-23 21:38:18.519970
14,CU Jonathan Williams C...,0-30 Minutes*,Last Reported Time: 3:40 PM,2020-12-23 21:38:18.519970
15,CU Vanderbilt,Not Reported Yet,Last Reported Time:,2020-12-23 21:38:18.519970
16,CU Woodside Houses CHC,Not Reported Yet,Last Reported Time:,2020-12-23 21:38:18.519970
17,Cumberland Dtc,Not Reported Yet,Last Reported Time:,2020-12-23 21:38:18.519970
18,Edward Grant,1-1.5 Hours,Last Reported Time: 4:34 PM,2020-12-23 21:38:18.519970
19,Elmhurst Hospital Cent...,1-1.5 Hours*,Last Reported Time: 9:06 AM,2020-12-23 21:38:18.519970
20,EY East New York DTC,No Wait Time*,Last Reported Time: 3:05 PM,2020-12-23 21:38:18.519970
21,Fort Hamilton,More Than 2 Hours,Last Reported Time: 4:27 PM,2020-12-23 21:38:18.519970
22,Gouverneur Healthcare,1.5-2 Hours*,Last Reported Time: 2:46 PM,2020-12-23 21:38:18.519970
23,Greenbelt Recreational...,More Than 2 Hours*,Last Reported Time: 2:49 PM,2020-12-23 21:38:18.519970
24,Harlem Hospital Center,30-60 Minutes,Last Reported Time: 4:01 PM,2020-12-23 21:38:18.519970
25,Highbridge Pool,More Than 2 Hours*,Last Reported Time: 2:01 PM,2020-12-23 21:38:18.519970
26,Jacobi Medical Center,Not Reported Yet,Last Reported Time:,2020-12-23 21:38:18.519970
27,JFK Airport,30-60 Minutes,Last Reported Time: 4:32 PM,2020-12-23 21:38:18.519970
28,Kew Gardens,1-1.5 Hours*,Last Reported Time: 3:11 PM,2020-12-23 21:38:18.519970
29,Kings County Hospital ...,30-60 Minutes*,Last Reported Time: 2:01 PM,2020-12-23 21:38:18.519970
30,LaGuardia Airport,Not Reported Yet,Last Reported Time:,2020-12-23 21:38:18.519970
31,Lefferts,More Than 2 Hours*,Last Reported Time: 11:55 AM,2020-12-23 21:38:18.519970
32,Lincoln Medical Center,0-30 Minutes*,Last Reported Time: 12:19 PM,2020-12-23 21:38:18.519970
33,Mariners Harbor Library,0-30 Minutes*,Last Reported Time: 2:50 PM,2020-12-23 21:38:18.519970
34,Metropolitan Hospital ...,1.5-2 Hours*,Last Reported Time: 12:25 PM,2020-12-23 21:38:18.519970
35,Midwood,Not Reported Yet,Last Reported Time:,2020-12-23 21:38:18.519970
36,Morrisania Diagnostic ...,0-30 Minutes,Last Reported Time: 4:30 PM,2020-12-23 21:38:18.519970
37,Mt. Loretto,1.5-2 Hours*,Last Reported Time: 2:10 PM,2020-12-23 21:38:18.519970
38,North Central Bronx Ho...,0-30 Minutes*,Last Reported Time: 1:06 PM,2020-12-23 21:38:18.519970
39,Northern Boulevard,0-30 Minutes*,Last Reported Time: 9:22 AM,2020-12-23 21:38:18.519970
40,Old Broadway,30-60 Minutes,Last Reported Time: 4:29 PM,2020-12-23 21:38:18.519970
41,Queens Hospital Center,1.5-2 Hours*,Last Reported Time: 2:08 PM,2020-12-23 21:38:18.519970
42,Rain Boston Road Senio...,No Wait Time*,Last Reported Time: 4:00 PM,2020-12-23 21:38:18.519970
43,Red Hook Recreational ...,30-60 Minutes*,Last Reported Time: 3:49 PM,2020-12-23 21:38:18.519970
44,Sorrentino Recreationa...,Not Reported Yet,Last Reported Time:,2020-12-23 21:38:18.519970
45,St. Albans,Not Reported Yet,Last Reported Time:,2020-12-23 21:38:18.519970
46,St. George Ferry Termi...,30-60 Minutes,Last Reported Time: 4:19 PM,2020-12-23 21:38:18.519970
47,St. James Recreational...,Not Reported Yet,Last Reported Time:,2020-12-23 21:38:18.519970
48,Starret City,30-60 Minutes,Last Reported Time: 4:07 PM,2020-12-23 21:38:18.519970
49,SY Dyckman Lcdla,Not Reported Yet,Last Reported Time:,2020-12-23 21:38:18.519970
50,SY St. Nicholas Chc,Not Reported Yet,Last Reported Time:,2020-12-23 21:38:18.519970
51,Sydenham,1.5-2 Hours*,Last Reported Time: 10:54 AM,2020-12-23 21:38:18.519970
52,Sydenham Health Center,Not Reported Yet,Last Reported Time:,2020-12-23 21:38:18.519970
53,Tremont Community Heal...,Not Reported Yet,Last Reported Time:,2020-12-23 21:38:18.519970
54,Windsor Park Library,More Than 2 Hours*,Last Reported Time: 3:19 PM,2020-12-23 21:38:18.519970
55,Woodhull Medical Center,1-1.5 Hours*,Last Reported Time: 3:48 PM,2020-12-23 21:38:18.519970
